row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,231.724,-,-,-,-,-,-,231.724,,231724.0,,,,,,,231724.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,494.362,-,-,-,-,-,494.362,,,494362.0,,,,,,494362.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,14.876.696,397.950,-,-,-,-,15.274.646,,,14876696.0,397950.0,,,,,15274646.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,26.786,2.322,9.223,5.594,-,-,43.925,,,26786.0,2322.0,9223.0,5594.0,,,43925.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),3.067.535,-,8.370.567,22.620.190,2.020.508,1.200.101,495.974,135.728,37.910.603,3067535.0,,8370567.0,22620190.0,2020508.0,1200101.0,495974.0,135728.0,37910603.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,105.703,778.870,200.000,1.067.021,1.273.290,6.194.736,3.660.185,13.279.805,,105703.0,778870.0,200000.0,1067021.0,1273290.0,6194736.0,3660185.0,13279805.0
"Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,719.600,719.600,,,,,,,,719600.0,719600.0
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,-,589.531,589.531,,,,,,,,589531.0,589531.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,11.996.552,156.812,209.810,200.377,46.272,2.659,13.725,12.626.207,,11996552.0,156812.0,209810.0,200377.0,46272.0,2659.0,13725.0,12626207.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,3.067.535,12.333.979,24.704.093,23.430.272,3.297.129,2.525.257,6.693.370,5.118.769,81.170.403,3067535.0,12333979.0,24704093.0,23430272.0,3297129.0,2525257.0,6693370.0,5118769.0,81170403.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,11.341.679,1.072.418,-,-,-,-,12.414.097,,,11341679.0,1072418.0,,,,,12414097.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,12.222.868,11.264.656,18.549.716,11.773.115,5.284.953,-,59.095.308,,,12222868.0,11264656.0,18549716.0,11773115.0,5284953.0,,59095308.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,116.477,116.477,,,,,,,,116477.0,116477.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,145.653,150.189,303.411,237.281,858.126,1.009.530,2.704.190,,,145653.0,150189.0,303411.0,237281.0,858126.0,1009530.0,2704190.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,143.912,274.557,390.267,513.403,233.851,201.288,-,1.757.278,,143912.0,274557.0,390267.0,513403.0,233851.0,201288.0,,1757278.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,143.912,23.984.757,12.877.530,19.366.530,12.244.247,6.344.367,1.126.007,76.087.350,,143912.0,23984757.0,12877530.0,19366530.0,12244247.0,6344367.0,1126007.0,76087350.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,3.067.535,12.190.067,719.336,10.552.742,(16.069.401),(9.718.990),349.003,3.992.762,5.083.053,3067535.0,12190067.0,719336.0,10552742.0,-16069401.0,-9718990.0,349003.0,3992762.0,5083053.0
Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng),-,2.762.521,15,-,-,-,-,-,2.762.536,,2762521.0,15.0,,,,,,2762536.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bảng",3.067.535,14.952.588,719.351,10.552.742,(16.069.401),(9.718.990),349.003,3.992.762,7.845.589,3067535.0,14952588.0,719351.0,10552742.0,-16069401.0,-9718990.0,349003.0,3992762.0,7845589.0
