row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập / hoàn nhập trong năm > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Năm trước > Số dư đầu năm > Dự phòng rủi ro trích lập/ hoàn nhập trong năm > Sử dụng dự phòng rủi ro tín dụng trong năm > Số dư cuối năm > Chi tiết số dư dự phòng cuối năm,Dự phòng chung > 267.297 > 11.613 > - > 278.910 > Năm trước > 228.196 > 39.101 > - > 267.297 > 31/12/2019,Dự phòng cụ thể > 125.285 > 61.185 > (38.204) > 148.266 > Năm trước > 131.051 > 73.527 > (79.293) > 125.285 > 01/01/2019,numeric__Dự phòng chung > 267.297 > 11.613 > - > 278.910 > Năm trước > 228.196 > 39.101 > - > 267.297 > 31/12/2019,numeric__Dự phòng cụ thể > 125.285 > 61.185 > (38.204) > 148.266 > Năm trước > 131.051 > 73.527 > (79.293) > 125.285 > 01/01/2019
Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,-,-,,
Dự phòng rủi ro cho vay khách hàng,Dự phòng chung tin dụng khác đối với các TCTD trong nước > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,427.176,392.582,427176.0,392582.0
+ Dự phòng chung,Dự phòng chung tin dụng khác đối với các TCTD trong nước > + Dự phòng chung,+ Dự phòng chung,278.910,267.297,278910.0,267297.0
+ Dự phòng cụ thể,Dự phòng chung tin dụng khác đối với các TCTD trong nước > + Dự phòng cụ thể,+ Dự phòng cụ thể,148.266,125.285,148266.0,125285.0
Cộng,Dự phòng chung tin dụng khác đối với các TCTD trong nước > Cộng,Cộng,427.176,392.582,427176.0,392582.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,31/12/2019,01/01/2019,,
Mua nợ bằng VND,Hoạt động mua nợ > Mua nợ bằng VND,Mua nợ bằng VND,-,10.022,,10022.0
Mua nợ bằng ngoại tệ,Mua nợ bằng ngoại tệ,Mua nợ bằng ngoại tệ,-,-,,
Dự phòng rủi ro,Mua nợ bằng ngoại tệ > Dự phòng rủi ro,Dự phòng rủi ro,-,(75),,-75.0
Cộng,Mua nợ bằng ngoại tệ > Cộng,Cộng,-,9.947,,9947.0
