row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1
12. Tiền gửi của khách hàng (t.t),12. Tiền gửi của khách hàng (t.t),12. Tiền gửi của khách hàng (t.t),12. Tiền gửi của khách hàng (t.t),12. Tiền gửi của khách hàng (t.t),,
Tiền gửi ký quỹ,12. Tiền gửi của khách hàng (t.t) > Tiền gửi ký quỹ,Tiền gửi ký quỹ,172.490,181.905,172490.0,181905.0
- Bằng VND,12. Tiền gửi của khách hàng (t.t) > - Bằng VND,- Bằng VND,172.483,181.517,172483.0,181517.0
- Bằng ngoại hồi,12. Tiền gửi của khách hàng (t.t) > - Bằng ngoại hồi,- Bằng ngoại hồi,7,388,7.0,388.0
Tổng cộng,12. Tiền gửi của khách hàng (t.t) > Tổng cộng,Tổng cộng,59.095.308,47.148.818,59095308.0,47148818.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",,
,,,31/12/2019,01/01/2019,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,8.116.554,9.035.763,8116554.0,9035763.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,2.538.936,3.230.787,2538936.0,3230787.0
"Công ty CP, TNHH, Hợp danh, Tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty CP, TNHH, Hợp danh, Tài chính","Công ty CP, TNHH, Hợp danh, Tài chính",4.694.381,3.792.945,4694381.0,3792945.0
Công ty Tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty Tư nhân",Công ty Tư nhân,1.046,1.654.864,1046.0,1654864.0
"Công ty chứng khoán, bảo hiểm, tài chính","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty chứng khoán, bảo hiểm, tài chính","Công ty chứng khoán, bảo hiểm, tài chính",241.308,247.343,241308.0,247343.0
"Doanh nghiệp tư nhân, Kinh tế tập thế","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân, Kinh tế tập thế","Doanh nghiệp tư nhân, Kinh tế tập thế",398.383,78.402,398383.0,78402.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,242.500,31.422,242500.0,31422.0
Tiền gửi của cá nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cá nhân",Tiền gửi của cá nhân,50.978.754,38.113.055,50978754.0,38113055.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,59.095.308,47.148.818,59095308.0,47148818.0
"13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2019,01/01/2019,,
"Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND","13. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng VND",116.477,170.063,116477.0,170063.0
"Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ",-,-,,
"Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn nhận tài trợ, ủy thác đầu tư, cho vay bằng vàng, ngoại tệ > Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Tổng cộng vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",116.477,170.063,116477.0,170063.0
