row_label_raw,row_label_full,col_0,Số dưđâu nămtriệu đồng,Phát sinh trong năm > Phát sinh tăngtriệu đồng,Phát sinh trong năm > Phát sinh giảmtriệu đồng,Số ducuôi nămtriệu đồng,numeric__Số dưđâu nămtriệu đồng,numeric__Phát sinh trong năm > Phát sinh tăngtriệu đồng,numeric__Phát sinh trong năm > Phát sinh giảmtriệu đồng,numeric__Số ducuôi nămtriệu đồng
Thuế GTGT,Thuế GTGT,Thuế GTGT,77.876,655.249,(641.629),91.496,77876.0,655249.0,-641629.0,91496.0
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,901.387,4.598.186,(2.372.089),3.127.484,901387.0,4598186.0,-2372089.0,3127484.0
Trong đó điều chỉnh theoKTNN:,Trong đó điều chỉnh theoKTNN:,Trong đó điều chỉnh theoKTNN:,,,,,,,,
Thuế GTGT,Trong đó điều chỉnh theoKTNN: > Thuế GTGT,Thuế GTGT,-,69.454,(69.454),-,,69454.0,-69454.0,
Thuế TNDN,Trong đó điều chỉnh theoKTNN: > Thuế TNDN,Thuế TNDN,-,20.037,(20.037),-,,20037.0,-20037.0,
Các loại thuế khác,Trong đó điều chỉnh theoKTNN: > Các loại thuế khác,Các loại thuế khác,124.122,1.534.514,(1.542.249),116.387,124122.0,1534514.0,-1542249.0,116387.0
,,,1.103.385,6.787.949,(4.555.967),3.335.367,1103385.0,6787949.0,-4555967.0,3335367.0
