row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng,Dự phòng cụ thể triệu đồng,Tổng công triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng cụ thể triệu đồng,numeric__Tổng công triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.590.776,6.166.908,8.757.684,2590776.0,6166908.0,8757684.0
Trích lập trong năm (Thuyết minh số 35),Trích lập trong năm (Thuyết minh số 35),Trích lập trong năm (Thuyết minh số 35),811.873,7.061.824,7.873.697,811873.0,7061824.0,7873697.0
Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,-,(4.412.070),(4.412.070),,-4412070.0,-4412070.0
"Điều chỉnh theo Kiểm toán Nhà nước ""KTNN""","Điều chỉnh theo Kiểm toán Nhà nước ""KTNN""","Điều chỉnh theo Kiểm toán Nhà nước ""KTNN""",(1.505),(240.105),(241.610),-1505.0,-240105.0,-241610.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(229),(1.612),(1.841),-229.0,-1612.0,-1841.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.400.915,8.574.945,11.975.860,3400915.0,8574945.0,11975860.0
