row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Mãy mócthiết bịtriệu đồng,Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,Tài sản hữuhình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Mãy mócthiết bịtriệu đồng,numeric__Phương tiện vận tảivà thiết bị truyền đãntriệu đồng,numeric__Tài sản hữuhình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.398.309,2.020.511,1.356.253,308.444,6.083.517,2398309.0,2020511.0,1356253.0,308444.0,6083517.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,71.832,776.891,97.113,135.915,1.081.751,71832.0,776891.0,97113.0,135915.0,1081751.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(51.678),(6.986),(1.267),(59.931),,-51678.0,-6986.0,-1267.0,-59931.0
Tăng/(giảm) khác trong năm,Nguyên giá > Tăng/(giảm) khác trong năm,Tăng/(giảm) khác trong năm,-,245.929,(286.973),38.223,(2.821),,245929.0,-286973.0,38223.0,-2821.0
Điều chỉnh theo KTNN,Nguyên giá > Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,10.774,-,-,-,10.774,10774.0,,,,10774.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,247,(2.030),(718),(227),(2.728),247.0,-2030.0,-718.0,-227.0,-2728.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.481.162,2.989.623,1.158.689,481.088,7.110.562,2481162.0,2989623.0,1158689.0,481088.0,7110562.0
Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,Giá trị hao mòn luy kế,,,,,
Số dư đầu năm,Giá trị hao mòn luy kế > Số dư đầu năm,Số dư đầu năm,420.378,1.434.377,843.524,171.332,2.869.611,420378.0,1434377.0,843524.0,171332.0,2869611.0
Chỉ phí khấu hao trong năm,Giá trị hao mòn luy kế > Chỉ phí khấu hao trong năm,Chỉ phí khấu hao trong năm,102.168,383.596,283.771,74.621,844.156,102168.0,383596.0,283771.0,74621.0,844156.0
Giảm trong năm,Giá trị hao mòn luy kế > Giảm trong năm,Giảm trong năm,-,(51.561),(5.793),(1.245),(58.599),,-51561.0,-5793.0,-1245.0,-58599.0
Tăng/(giảm) khác trong năm,Giá trị hao mòn luy kế > Tăng/(giảm) khác trong năm,Tăng/(giảm) khác trong năm,-,175.503,(204.342),28.349,(490),,175503.0,-204342.0,28349.0,-490.0
Điều chỉnh theo KTNN,Giá trị hao mòn luy kế > Điều chỉnh theo KTNN,Điều chỉnh theo KTNN,827,-,-,-,827,827.0,,,,827.0
Chênh lệch tỷ giá,Giá trị hao mòn luy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,186,(1.687),(754),(249),(2.504),186.0,-1687.0,-754.0,-249.0,-2504.0
Số dư cuối năm,Giá trị hao mòn luy kế > Số dư cuối năm,Số dư cuối năm,523.559,1.940.228,916.406,272.608,3.653.001,523559.0,1940228.0,916406.0,272608.0,3653001.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.977.931,586.134,512.729,137.112,3.213.906,1977931.0,586134.0,512729.0,137112.0,3213906.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.957.603,1.049.395,242.283,208.280,3.457.561,1957603.0,1049395.0,242283.0,208280.0,3457561.0
