row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(hoản nhập) trong năm(Thuyết minh số 32),Chứng khoánđâu tư sẵn sángđế bántriệu đồng > 352.398 > (11.604),Chứng khoánđâu tư giữ đếngày đáo hạntriệu đồng > 70.358 > 4.327,Tổngtriệu đồng > 422.756 > (7.277),numeric__Chứng khoánđâu tư sẵn sángđế bántriệu đồng > 352.398 > (11.604),numeric__Chứng khoánđâu tư giữ đếngày đáo hạntriệu đồng > 70.358 > 4.327,numeric__Tổngtriệu đồng > 422.756 > (7.277)
Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,(13.954),-,(13.954),-13954.0,,-13954.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,326.840,74.685,401.525,326840.0,74685.0,401525.0
