row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phân mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng công triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phân mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng công triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.102.024,1.811.224,10.368,2.923.616,1102024.0,1811224.0,10368.0,2923616.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,633.175,6.281,639.456,,633175.0,6281.0,639456.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(273),-,(273),,-273.0,,-273.0
Tăng/giảm khác trong năm,Nguyên giá > Tăng/giảm khác trong năm,Tăng/giảm khác trong năm,-,(4.289),6.441,2.152,,-4289.0,6441.0,2152.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,141,-,141,,141.0,,141.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.102.024,2.439.978,23.090,3.585.092,1102024.0,2439978.0,23090.0,3585092.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,208.178,1.245.089,5.808,1.459.075,208178.0,1245089.0,5808.0,1459075.0
Tăng trong năm,Giá trị hao mòn luỹ kế > Tăng trong năm,Tăng trong năm,10.619,473.886,5.338,489.843,10619.0,473886.0,5338.0,489843.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(272),-,(272),,-272.0,,-272.0
Điều chỉnh khác,Giá trị hao mòn luỹ kế > Điều chỉnh khác,Điều chỉnh khác,-,394,-,394,,394.0,,394.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,105,-,105,,105.0,,105.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,218.797,1.719.202,11.146,1.949.145,218797.0,1719202.0,11146.0,1949145.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,893.846,566.135,4.560,1.464.541,893846.0,566135.0,4560.0,1464541.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,883.227,720.776,11.944,1.615.947,883227.0,720776.0,11944.0,1615947.0
