row_label_raw,row_label_full,col_0,Quyền sửdung đấttriệu đồng,Phần mềmmáy vi tínhtriệu đồng,TSCĐvõ hình kháctriệu đồng,Tổng cộngtriệu đồng,numeric__Quyền sửdung đấttriệu đồng,numeric__Phần mềmmáy vi tínhtriệu đồng,numeric__TSCĐvõ hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,
Số dư đầu năm,Nguyên giả > Số dư đầu năm,Số dư đầu năm,1.102.024,1.169.487,6.053,2.277.564,1102024.0,1169487.0,6053.0,2277564.0
Mua mới trong năm,Nguyên giả > Mua mới trong năm,Mua mới trong năm,-,642.124,4.315,646.439,,642124.0,4315.0,646439.0
Thanh lý trong năm,Nguyên giả > Thanh lý trong năm,Thanh lý trong năm,-,(352),-,(352),,-352.0,,-352.0
Chênh lệch tỷ giá,Nguyên giả > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(35),-,(35),,-35.0,,-35.0
Số dư cuối năm,Nguyên giả > Số dư cuối năm,Số dư cuối năm,1.102.024,1.811.224,10.368,2.923.616,1102024.0,1811224.0,10368.0,2923616.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,181.857,868.240,5.072,1.055.169,181857.0,868240.0,5072.0,1055169.0
Tăng trong năm,Giá trị hao mòn luỹ kế > Tăng trong năm,Tăng trong năm,26.321,373.412,736,400.469,26321.0,373412.0,736.0,400469.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(352),-,(352),,-352.0,,-352.0
Điều chính khác,Giá trị hao mòn luỹ kế > Điều chính khác,Điều chính khác,-,3.828,-,3.828,,3828.0,,3828.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(39),-,(39),,-39.0,,-39.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,208.178,1.245.089,5.808,1.459.075,208178.0,1245089.0,5808.0,1459075.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,920.167,301.247,981,1.222.395,920167.0,301247.0,981.0,1222395.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,893.846,566.135,4.560,1.464.541,893846.0,566135.0,4560.0,1464541.0
