row_label_raw,row_label_full,Số dư đầu năm,Năm 2022triệu đồng > 537,Năm 2021triệu đồng > 3.436,numeric__Năm 2022triệu đồng > 537,numeric__Năm 2021triệu đồng > 3.436
Các khoản chênh lệch tạm thời tỉnh thuế,Các khoản chênh lệch tạm thời tỉnh thuế,Các khoản chênh lệch tạm thời tỉnh thuế,52.245,(14.495),52245.0,-14495.0
Thuế suất tỉnh thuế hoãn lại trong năm hiện hành,Thuế suất tỉnh thuế hoãn lại trong năm hiện hành,Thuế suất tỉnh thuế hoãn lại trong năm hiện hành,20%,20%,0.2,0.2
Chi phí thuế TNDN hoãn lại phát sinhtrong năm,Chi phí thuế TNDN hoãn lại phát sinhtrong năm,Chi phí thuế TNDN hoãn lại phát sinhtrong năm,10.449,(2.899),10449.0,-2899.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,10.986,537,10986.0,537.0
