row_label_raw,row_label_full,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (i),31/12/2022triêu đồng > 38.747.172,31/12/2021triêu đồng > 36.564.145,numeric__31/12/2022triêu đồng > 38.747.172,numeric__31/12/2021triêu đồng > 36.564.145
- Bằng VND,- Bằng VND,- Bằng VND,29.975.504,30.187.869,29975504.0,30187869.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,8.771.668,6.376.276,8771668.0,6376276.0
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),280.888,385.786,280888.0,385786.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),626.481,1.101.108,626481.0,1101108.0
,,,39.654.541,38.051.039,39654541.0,38051039.0
