row_label_raw,row_label_full,col_0,USD được quy đổi triệu đồng,EUR được quy đổi triệu đồng,Ngoại tế khác quy đổi triệu đồng,Tổng cộng triệu đồng,numeric__USD được quy đổi triệu đồng,numeric__EUR được quy đổi triệu đồng,numeric__Ngoại tế khác quy đổi triệu đồng,numeric__Tổng cộng triệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",203.217,58.779,64.803,326.799,203217.0,58779.0,64803.0,326799.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,7.587.291,1.962.791,128.955,9.679.037,7587291.0,1962791.0,128955.0,9679037.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tải sản > Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",3.785.277,2.251.488,1.812.114,7.848.879,3785277.0,2251488.0,1812114.0,7848879.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,8.740.158,1.055.616,(1.198.702),8.597.072,8740158.0,1055616.0,-1198702.0,8597072.0
Cho vay và ứng trước khách hàng (*),Tải sản > Cho vay và ứng trước khách hàng (*),Cho vay và ứng trước khách hàng (*),19.571.389,-,388.894,19.960.283,19571389.0,,388894.0,19960283.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,76.069,76.069,,,76069.0,76069.0
Góp vốn đầu tư dài hạn (*),Tải sản > Góp vốn đầu tư dài hạn (*),Góp vốn đầu tư dài hạn (*),-,2.731,-,2.731,,2731.0,,2731.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,5.011,-,2.822,7.833,5011.0,,2822.0,7833.0
Tải sản cố khác (*),Tải sản > Tải sản cố khác (*),Tải sản cố khác (*),5.744.442,45.005,56.235,5.845.682,5744442.0,45005.0,56235.0,5845682.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,45.636.785,5.376.410,1.331.190,52.344.385,45636785.0,5376410.0,1331190.0,52344385.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,28.778.463,44.448,120.707,28.943.618,28778463.0,44448.0,120707.0,28943618.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,16.880.502,5.089.821,523.814,22.494.137,16880502.0,5089821.0,523814.0,22494137.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),378.133,241.941,138.770,758.844,378133.0,241941.0,138770.0,758844.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,46.037.098,5.376.210,783.291,52.196.599,46037098.0,5376210.0,783291.0,52196599.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(400.313),200,547.899,147.786,-400313.0,200.0,547899.0,147786.0
