row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng trong năm (Thuyết minh số 36),Năm 2022 triệu đồng > 59.513 > 170.080,Năm 2021 triệu đồng > 46.361 > 26.424,numeric__Năm 2022 triệu đồng > 59.513 > 170.080,numeric__Năm 2021 triệu đồng > 46.361 > 26.424
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,1.907,-,1907.0,
Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,Sử dụng quỹ dự phòng,-,(13.272),,-13272.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,231.500,59.513,231500.0,59513.0
