row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán - Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán - Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
III. Tài sản,III. Tài sản,III. Tài sản,718.545.037,11.219.557,17.854.115,1.637.854,(20.724.190),728.532.373,718545037.0,11219557.0,17854115.0,1637854.0,-20724190.0,728532373.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,3.743.167,332,539,62,-,3.744.100,3743167.0,332.0,539.0,62.0,,3744100.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,4.334.254,199.108,514.824,25.322,-,5.073.508,4334254.0,199108.0,514824.0,25322.0,,5073508.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,710.467.616,11.020.117,17.338.752,1.612.470,(20.724.190),719.714.765,710467616.0,11020117.0,17338752.0,1612470.0,-20724190.0,719714765.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,643.167.334,6.187.787,14.186.331,649.316,(15.271.614),648.919.154,643167334.0,6187787.0,14186331.0,649316.0,-15271614.0,648919154.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,624.003.299,5.878.450,-,-,(14.858.413),615.023.336,624003299.0,5878450.0,,,-14858413.0,615023336.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,1.397.531,33.463,143.183,51.828,-,1.626.005,1397531.0,33463.0,143183.0,51828.0,,1626005.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,17.766.504,275.874,14.043.148,597.488,(413.201),32.269.813,17766504.0,275874.0,14043148.0,597488.0,-413201.0,32269813.0
