row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,12.309.249.542,320.060.177.562,325.210.098.827,-,7.159.328.277,,12309249542.0,320060177562.0,325210098827.0,,7159328277.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,10.132.088.799,10.132.088.799,-,-,,,10132088799.0,10132088799.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,17.626.160.781,246.072.000.169,246.202.629.179,-,17.495.531.771,,17626160781.0,246072000169.0,246202629179.0,,17495531771.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,167.536.058,167.536.058,-,-,,,167536058.0,167536058.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,30.774.560.103,218.681.555.091,154.085.610.326,118.060.348,95.488.565.216,,30774560103.0,218681555091.0,154085610326.0,118060348.0,95488565216.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,221.427.988,64.759.478,43.667.123.633,43.525.453.235,79.279.529,72.799.085,221427988.0,64759478.0,43667123633.0,43525453235.0,79279529.0,72799085.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,148.665.058,2.059.328.933,2.029.454.761,-,178.539.230,,148665058.0,2059328933.0,2029454761.0,,178539230.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",118.062.932,-,4.424.226.923,6.225.669.486,1.919.505.495,-,118062932.0,,4424226923.0,6225669486.0,1919505495.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,25.785.512,-,2.045.529.052,2.048.526.523,28.782.983,-,25785512.0,,2045529052.0,2048526523.0,28782983.0,
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,9.943.000,143.924.000,142.789.750,-,11.077.250,,9943000.0,143924000.0,142789750.0,,11077250.0
Cộng,Cộng,Cộng,365.276.432,60.933.337.962,847.453.490.220,789.769.856.944,2.145.628.355,120.405.840.829,365276432.0,60933337962.0,847453490220.0,789769856944.0,2145628355.0,120405840829.0
