row_label_raw,row_label_full,Công ty TNHH Asia Packing Industries Việt Nam,31/12/2022 > 8.995.260.201,01/01/2022 > 10.060.028.480,numeric__31/12/2022 > 8.995.260.201,numeric__01/01/2022 > 10.060.028.480
Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,Công ty TNHH TM & Vận tải Thái Tân,5.913.317.579,30.744.472,5913317579.0,30744472.0
Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,Công ty TNHH Brenntag Việt Nam,6.123.256.884,5.222.602.506,6123256884.0,5222602506.0
Công ty CP In bao bi Khatoco,Công ty CP In bao bi Khatoco,Công ty CP In bao bi Khatoco,10.263.758.830,7.998.353.896,10263758830.0,7998353896.0
Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,9.687.621.300,7.884.571.138,9687621300.0,7884571138.0
Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,23.482.859.000,14.670.000.000,23482859000.0,14670000000.0
Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,7.430.371.183,7.152.838.000,7430371183.0,7152838000.0
Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,2.966.329.847,3.200.304.250,2966329847.0,3200304250.0
Công ty CP TKL,Công ty CP TKL,Công ty CP TKL,28.305.808.549,42.505.829.988,28305808549.0,42505829988.0
Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,1.698.460.380,1.790.102.050,1698460380.0,1790102050.0
Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,113.113.552.660,113.113.552.660,113113552660.0,113113552660.0
Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,175.093.550,394.623.800,175093550.0,394623800.0
Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,197.635.736,1.824.734.851,197635736.0,1824734851.0
Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,Công ty TNHH Bao bì NGK Crown Đà Nẵng,3.823.152.096,-,3823152096.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,256.751.240.599,147.914.014.097,256751240599.0,147914014097.0
Cộng,Cộng,Cộng,478.927.718.394,363.762.300.188,478927718394.0,363762300188.0
