row_label_raw,row_label_full,31/12/2022,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,478.927.718.394,-,478.927.718.394,478927718394.0,,478927718394.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,3.649.251.624,-,3.649.251.624,3649251624.0,,3649251624.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.895.895.232.086,-,1.895.895.232.086,1895895232086.0,,1895895232086.0
Phải trả khác,Phải trả khác,Phải trả khác,41.389.384.317,10.510.373.364,51.899.757.681,41389384317.0,10510373364.0,51899757681.0
Cộng,Cộng,Cộng,2.419.861.586.421,10.510.373.364,2.430.371.959.785,2419861586421.0,10510373364.0,2430371959785.0
01/01/2022,01/01/2022,01/01/2022,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2022 > Phải trả người bán,Phải trả người bán,363.762.300.188,-,363.762.300.188,363762300188.0,,363762300188.0
Chi phí phải trả,01/01/2022 > Chi phí phải trả,Chi phí phải trả,3.754.021.957,-,3.754.021.957,3754021957.0,,3754021957.0
Vay và nợ thuê tài chính,01/01/2022 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.032.288.120.686,-,2.032.288.120.686,2032288120686.0,,2032288120686.0
Phải trả khác,01/01/2022 > Phải trả khác,Phải trả khác,26.058.863.629,20.356.047.079,46.414.910.708,26058863629.0,20356047079.0,46414910708.0
Cộng,01/01/2022 > Cộng,Cộng,2.425.863.306.460,20.356.047.079,2.446.219.353.539,2425863306460.0,20356047079.0,2446219353539.0
