row_label_raw,row_label_full,31/12/2022,Tài sân cúa bó phàn > Nguyên giá TSCD HH,Tài sân cúa bó phàn > Hao mòn luy ké,Tài sân cúa bó phàn > Nợ phải thu,Tài sân cúa bó phàn > Tõng tài sân,Tài sân cúa bó phàn > Nợ phải tră,Khú hao TSCD Nám 2022,numeric__Tài sân cúa bó phàn > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phàn > Hao mòn luy ké,numeric__Tài sân cúa bó phàn > Nợ phải thu,numeric__Tài sân cúa bó phàn > Tõng tài sân,numeric__Tài sân cúa bó phàn > Nợ phải tră,numeric__Khú hao TSCD Nám 2022
Hoàt dōng SXKD sân phám Duòng,Hoàt dōng SXKD sân phám Duòng,Hoàt dōng SXKD sân phám Duòng,3.682.654.401.617,(1.675.938.341.507),391.795.284.492,2.748.032.113.881,118.271.000.914,217.128.616.155,3682654401617.0,-1675938341507.0,391795284492.0,2748032113881.0,118271000914.0,217128616155.0
Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,2.083.135.588.367,(1.752.374.563.181),70.153.971.204,890.797.413.326,181.025.581.868,91.579.656.068,2083135588367.0,-1752374563181.0,70153971204.0,890797413326.0,181025581868.0,91579656068.0
Cóng ty TNHH MTV Thương mại Thanh Phát,Cóng ty TNHH MTV Thương mại Thanh Phát,Cóng ty TNHH MTV Thương mại Thanh Phát,2.733.593.085,(2.543.233.754),146.633.730.096,984.609.486.760,17.487.168.134,60.188.399,2733593085.0,-2543233754.0,146633730096.0,984609486760.0,17487168134.0,60188399.0
Hàt dōng SXKD khác,Hàt dōng SXKD khác,Hàt dōng SXKD khác,3.285.699.891.742,(1.717.712.998.697),125.285.636.741,7.424.112.840.946,2.631.004.428.719,175.327.981.814,3285699891742.0,-1717712998697.0,125285636741.0,7424112840946.0,2631004428719.0,175327981814.0
,,,9.054.223.474.811,(5.148.569.137.139),733.868.622.533,12.047.551.854.913,2.947.788.179.635,484.096.442.436,9054223474811.0,-5148569137139.0,733868622533.0,12047551854913.0,2947788179635.0,484096442436.0
Các khoản loại trùr,Các khoản loại trùr,Các khoản loại trùr,-,-,(146.203.414.864),(1.781.087.665.898),(146.203.414.864),-,,,-146203414864.0,-1781087665898.0,-146203414864.0,
Tõng cộng,Tõng cộng,Tõng cộng,9.054.223.474.811,(5.148.569.137.139),587.665.207.669,10.266.464.189.015,2.801.584.764.771,484.096.442.436,9054223474811.0,-5148569137139.0,587665207669.0,10266464189015.0,2801584764771.0,484096442436.0
,,,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Khú hao TSCD Nám 2021,,,,,,
01/01/2022,01/01/2022,01/01/2022,Nguyên giá TSCD HH,Hao mòn luy ké,Nợ phải thu,Tõng tài sân,Nợ phải tră,Khú hao TSCD Nám 2021,,,,,,
Hoàt dōng SXKD sân phám Duòng,01/01/2022 > Hoàt dōng SXKD sân phám Duòng,Hoàt dōng SXKD sân phám Duòng,3.639.223.609.182,(1.458.809.725.352),234.634.968.416,2.802.246.134.914,36.160.186.565,188.948.384.371,3639223609182.0,-1458809725352.0,234634968416.0,2802246134914.0,36160186565.0,188948384371.0
Hoàt dōng SXKD sân phám Sūa dāu nanh,01/01/2022 > Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,2.032.985.805.328,(1.663.447.075.803),59.863.679.084,872.686.010.090,185.249.785.286,128.348.325.379,2032985805328.0,-1663447075803.0,59863679084.0,872686010090.0,185249785286.0,128348325379.0
Cóng ty TNHH MTV Thương mại Thanh Phát,01/01/2022 > Cóng ty TNHH MTV Thương mại Thanh Phát,Cóng ty TNHH MTV Thương mại Thanh Phát,2.961.128.358,(2.710.580.628),122.228.138.643,957.627.603.052,17.892.874.095,59.180.997,2961128358.0,-2710580628.0,122228138643.0,957627603052.0,17892874095.0,59180997.0
Hàt dōng SXKD khác,01/01/2022 > Hàt dōng SXKD khác,Hàt dōng SXKD khác,3.267.202.038.480,(1.543.678.266.712),92.069.951.776,6.999.771.771.889,2.663.665.848.684,151.706.711.813,3267202038480.0,-1543678266712.0,92069951776.0,6999771771889.0,2663665848684.0,151706711813.0
,,,8.942.372.581.348,(4.668.645.648.495),508.796.737.919,11.632.331.519.945,2.902.968.694.630,469.062.602.560,8942372581348.0,-4668645648495.0,508796737919.0,11632331519945.0,2902968694630.0,469062602560.0
Các khoản loại trùr,01/01/2022 > Các khoản loại trùr,Các khoản loại trùr,-,-,(122.105.954.732),(1.756.581.249.598),(122.105.954.732),-,,,-122105954732.0,-1756581249598.0,-122105954732.0,
Tõng cộng,01/01/2022 > Tõng cộng,Tõng cộng,8.942.372.581.348,(4.668.645.648.495),386.690.783.187,9.875.750.270.347,2.780.862.739.898,469.062.602.560,8942372581348.0,-4668645648495.0,386690783187.0,9875750270347.0,2780862739898.0,469062602560.0
