row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị,31/12/2022 > Dự phòng,01/01/2022 > Giá trị,01/01/2022 > Dự phòng,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Dự phòng,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Dự phòng
Lãi dự thu tiền gửi ngân hàng,Lãi dự thu tiền gửi ngân hàng,Lãi dự thu tiền gửi ngân hàng,39.439.180.819,-,33.285.568.494,-,39439180819.0,,33285568494.0,
Tạm ứng,Tạm ứng,Tạm ứng,2.525.131.835,-,1.625.068.969,-,2525131835.0,,1625068969.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",493.682.237,-,143.753.255,-,493682237.0,,143753255.0,
Phải thu khác,Phải thu khác,Phải thu khác,4.968.295.148,18.451.050,6.426.986.938,18.451.050,4968295148.0,18451050.0,6426986938.0,18451050.0
Cộng,Cộng,Cộng,47.426.290.039,18.451.050,41.481.377.656,18.451.050,47426290039.0,18451050.0,41481377656.0,18451050.0
