row_label_raw,row_label_full,31/12/2022,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,202.619.119.038,-,202.619.119.038,202619119038.0,,202619119038.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,4.296.000.000.000,-,4.296.000.000.000,4296000000000.0,,4296000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,142.836.151.445,-,142.836.151.445,142836151445.0,,142836151445.0
Phải thu khác,Phải thu khác,Phải thu khác,44.882.707.154,456.640.965,45.339.348.119,44882707154.0,456640965.0,45339348119.0
Cộng,Cộng,Cộng,4.686.337.977.637,456.640.965,4.686.794.618.602,4686337977637.0,456640965.0,4686794618602.0
01/01/2022,01/01/2022,01/01/2022,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2022 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,178.881.955.680,-,178.881.955.680,178881955680.0,,178881955680.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2022 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,3.923.000.000.000,-,3.923.000.000.000,3923000000000.0,,3923000000000.0
Phải thu khách hàng,01/01/2022 > Phải thu khách hàng,Phải thu khách hàng,96.135.888.234,-,96.135.888.234,96135888234.0,,96135888234.0
Phải thu khác,01/01/2022 > Phải thu khác,Phải thu khác,39.837.857.637,786.569.947,40.624.427.584,39837857637.0,786569947.0,40624427584.0
Cộng,01/01/2022 > Cộng,Cộng,4.237.855.701.551,786.569.947,4.238.642.271.498,4237855701551.0,786569947.0,4238642271498.0
