row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.474.678.545,59.868.458.850,62.343.137.395,2474678545.0,59868458850.0,62343137395.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,518.800.000,518.800.000,,518800000.0,518800000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,2.474.678.545,60.387.258.850,62.861.937.395,2474678545.0,60387258850.0,62861937395.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,841.820.254,49.780.366.242,50.622.186.496,841820254.0,49780366242.0,50622186496.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,89.982.203,4.276.424.241,4.366.406.444,89982203.0,4276424241.0,4366406444.0
- Khẩu hao,Khẩu hao > - Khẩu hao,- Khẩu hao,89.982.203,4.234.757.574,4.324.739.777,89982203.0,4234757574.0,4324739777.0
- Sử dụng Quỹ KH&CN,Khẩu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,,41.666.667,41.666.667,,41666667.0,41666667.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,931.802.457,54.056.790.483,54.988.592.940,931802457.0,54056790483.0,54988592940.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.632.858.291,10.088.092.608,11.720.950.899,1632858291.0,10088092608.0,11720950899.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.542.876.088,6.330.468.367,7.873.344.455,1542876088.0,6330468367.0,7873344455.0
