row_label_raw,row_label_full,Báo cáo bộ phậntheo hoạt động kinh doanh,Sản phẩm dưỡng,Sản phẩm dưỡng_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm dưỡng,numeric__Sản phẩm dưỡng_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phậntheo hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,,,,,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phậntheo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,1.972.671.994.636,1.583.711.923.218,4.304.575.061.040,4.090.749.390.592,1.582.323.665.189,1.178.407.540.597,1.704.243.625.410,1.400.233.560.264,(1.308.810.666.453),(917.808.022.616),8.255.003.679.822,7.335.294.392.055,1972671994636.0,1583711923218.0,4304575061040.0,4090749390592.0,1582323665189.0,1178407540597.0,1704243625410.0,1400233560264.0,-1308810666453.0,-917808022616.0,8255003679822.0,7335294392055.0
Giá vốn bộ phận,Báo cáo bộ phậntheo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.597.910.424.195,1.212.061.556.948,2.552.542.240.898,2.444.966.193.800,1.543.640.661.296,1.144.984.246.402,1.398.031.977.106,1.179.588.096.894,(1.296.047.295.403),(908.365.657.762),5.796.078.008.092,5.073.234.436.282,1597910424195.0,1212061556948.0,2552542240898.0,2444966193800.0,1543640661296.0,1144984246402.0,1398031977106.0,1179588096894.0,-1296047295403.0,-908365657762.0,5796078008092.0,5073234436282.0
Lợi nhuận gộp,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,374.761.570.441,371.650.366.270,1.752.032.820.142,1.645.783.196.792,38.683.003.893,33.423.294.195,306.211.648.304,220.645.463.370,(12.763.371.050),(9.442.364.854),2.458.925.671.730,2.262.059.955.773,374761570441.0,371650366270.0,1752032820142.0,1645783196792.0,38683003893.0,33423294195.0,306211648304.0,220645463370.0,-12763371050.0,-9442364854.0,2458925671730.0,2262059955773.0
Doanh thu hoạt động tài chính,Báo cáo bộ phậntheo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,191.042.786.716,142.915.484.776,,,,,,,,,,,191042786716.0,142915484776.0
Chi phí tài chính,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,83.722.680.028,66.281.421.486,,,,,,,,,,,83722680028.0,66281421486.0
Chi phí bán hàng,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,868.297.002.640,693.932.847.200,,,,,,,,,,,868297002640.0,693932847200.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,232.062.418.660,252.508.477.645,,,,,,,,,,,232062418660.0,252508477645.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.465.886.357.118,1.392.252.694.218,,,,,,,,,,,1465886357118.0,1392252694218.0
Thu nhập khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,43.757.052.420,53.029.739.734,,,,,,,,,,,43757052420.0,53029739734.0
Chi phí khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,4.320.507.909,6.125.164.821,,,,,,,,,,,4320507909.0,6125164821.0
Lợi nhuận khác,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,39.436.544.511,46.904.574.913,,,,,,,,,,,39436544511.0,46904574913.0
Lợi nhuận trước thuế,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.505.322.901.629,1.439.157.269.131,,,,,,,,,,,1505322901629.0,1439157269131.0
Thuế TNDN,Báo cáo bộ phậntheo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,218.579.316.049,185.593.090.674,,,,,,,,,,,218579316049.0,185593090674.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phậntheo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.286.743.585.580,1.253.564.178.457,,,,,,,,,,,1286743585580.0,1253564178457.0
