row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCDhữu hình khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.856.368.150,13.403.399.083,7.870.209.300,778.475.925,168.964.352.384,192.872.804.842,1856368150.0,13403399083.0,7870209300.0,778475925.0,168964352384.0,192872804842.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,-,-,-,464.394.136,464.394.136,,,,,464394136.0,464394136.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,-,-,11.483.647.134,11.483.647.134,,,,,11483647134.0,11483647134.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
Hủy bó,"Thanh lý, nhượng bán > Hủy bó",Hủy bó,-,(190.909.091),-,(165.272.725),-,(356.181.816),,-190909091.0,,-165272725.0,,-356181816.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,,-,-,,,,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,1.856.368.150,13.212.489.992,7.870.209.300,613.203.200,180.912.393.654,204.464.664.296,1856368150.0,13212489992.0,7870209300.0,613203200.0,180912393654.0,204464664296.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.856.368.150,2.425.549.854,5.498.964.300,778.475.925,7.664.211.087,18.223.569.316,1856368150.0,2425549854.0,5498964300.0,778475925.0,7664211087.0,18223569316.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,612.717.168,334.764.000,-,26.023.852.236,26.971.333.404,,612717168.0,334764000.0,,26023852236.0,26971333404.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,-,,,,,,
Hủy bó,"Thanh lý, nhượng bán > Hủy bó",Hủy bó,-,(190.909.091),-,(165.272.725),-,(356.181.816),,-190909091.0,,-165272725.0,,-356181816.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,-,,,,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,1.856.368.150,2.847.357.931,5.833.728.300,613.203.200,33.688.063.323,44.838.720.904,1856368150.0,2847357931.0,5833728300.0,613203200.0,33688063323.0,44838720904.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,-,10.977.849.229,2.371.245.000,-,161.300.141.297,174.649.235.526,,10977849229.0,2371245000.0,,161300141297.0,174649235526.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,-,10.365.132.061,2.036.481.000,-,147.224.330.331,159.625.943.392,,10365132061.0,2036481000.0,,147224330331.0,159625943392.0
