row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,1.731.890.210.305,2.105.111.255.555,,100.0,,1731890210305.0,2105111255555.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,49.642.975.589,63.714.651.972,,110.0,,49642975589.0,63714651972.0
1.,1.,1.,Tiền,111,,49.642.975.589,53.714.651.972,,111.0,,49642975589.0,53714651972.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,10.000.000.000,,112.0,,,10000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,-,309.530.000.000,,120.0,,,309530000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2.1,-,309.320.000.000,,121.0,,,309320000000.0
2.,2.,2.,Đầu tư nắm giữ đến ngày đáo hạn,123,,-,210.000.000,,123.0,,,210000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.675.263.959.151,1.699.151.580.233,,130.0,,1675263959151.0,1699151580233.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,373.703.222.645,314.445.934.444,,131.0,,373703222645.0,314445934444.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,94.417.766.684,88.293.426.041,,132.0,,94417766684.0,88293426041.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,V.5,221.061.764.806,662.997.936.560,,135.0,,221061764806.0,662997936560.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,1.014.099.883.624,668.563.739.253,,136.0,,1014099883624.0,668563739253.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(28.018.678.608),(35.149.456.065),,137.0,,-28018678608.0,-35149456065.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,6.092.398.912,29.679.029.542,,140.0,,6092398912.0,29679029542.0
1.,1.,1.,Hàng tồn kho,141,,6.092.398.912,29.679.029.542,,141.0,,6092398912.0,29679029542.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,890.876.653,3.035.993.808,,150.0,,890876653.0,3035993808.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,881.545.591,2.977.532.135,,151.0,,881545591.0,2977532135.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,49.168.569,,152.0,,,49168569.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.15.2,9.331.062,9.293.104,,153.0,,9331062.0,9293104.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,19.327.735.461.811,3.700.695.054.073,,200.0,,19327735461811.0,3700695054073.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,200.702.235.688,324.279.578.977,,210.0,,200702235688.0,324279578977.0
