row_label_raw,row_label_full,Phải thu khác dài hạn,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,46.820.706.663,-,116.828.827.652,-,46820706663.0,,116828827652.0,
"Ký cược, ký quỹ dài hạn (*)","Ký cược, ký quỹ dài hạn (*)","Ký cược, ký quỹ dài hạn (*)",46.820.706.663,-,58.275.172.942,-,46820706663.0,,58275172942.0,
Phải thu khác,Phải thu khác,Phải thu khác,-,-,58.553.654.710,-,,,58553654710.0,
Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,153.881.529.025,-,207.450.751.325,-,153881529025.0,,207450751325.0,
Phải thu chi phí xây dựng,Phải thu chi phí xây dựng,Phải thu chi phí xây dựng,153.881.529.025,-,207.450.751.325,-,153881529025.0,,207450751325.0,
