row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,168.471.841.384,128.027.771.158,,1.0,,168471841384.0,128027771158.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,168.471.841.384,128.027.771.158,,10.0,,168471841384.0,128027771158.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,156.485.789.915,111.838.168.969,,11.0,,156485789915.0,111838168969.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,11.986.051.469,16.189.602.189,,20.0,,11986051469.0,16189602189.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,153.228.791.228,340.464.415.054,,21.0,,153228791228.0,340464415054.0
7.,7.,7.,Chi phí tài chính,22,VI.4,3.721.559.836,7.122.472.228,,22.0,,3721559836.0,7122472228.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,4.708.283.138,4.651.829.037,,23.0,,4708283138.0,4651829037.0
8.,8.,8.,Chi phí bán hàng,25,,7.320.333.372,-,,25.0,,7320333372.0,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,101.404.461.181,138.227.991.825,,26.0,,101404461181.0,138227991825.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,52.768.488.308,211.303.553.190,,30.0,,52768488308.0,211303553190.0
11.,11.,11.,Thu nhập khác,31,,2.497.218.075,1.996.154.618,,31.0,,2497218075.0,1996154618.0
12.,12.,12.,Chi phí khác,32,,4.547.146.793,714.918.123,,32.0,,4547146793.0,714918123.0
13.,13.,13.,Lợi nhuận khác,40,,(2.049.928.718),1.281.236.495,,40.0,,-2049928718.0,1281236495.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,50.718.559.590,212.584.789.685,,50.0,,50718559590.0,212584789685.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.7,-,40.431.006.953,,51.0,,,40431006953.0
16.,16.,16.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,50.718.559.590,172.153.782.732,,60.0,,50718559590.0,172153782732.0
