row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết (%)
Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
- Công ty TNHH Tasco BOT,Công ty con trực tiếp > - Công ty TNHH Tasco BOT,- Công ty TNHH Tasco BOT,Hà Nội,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty cổ phần VETC,Công ty con trực tiếp > - Công ty cổ phần VETC,- Công ty cổ phần VETC,Hà Nội,Dịch vụ,"99,26%","99,26%",,,0.9926,0.9926
- Công ty TNHH Ana Services(Tên cũ: Công ty TNHH MTV Dịch vụ Tasco),Công ty con trực tiếp > - Công ty TNHH Ana Services(Tên cũ: Công ty TNHH MTV Dịch vụ Tasco),- Công ty TNHH Ana Services(Tên cũ: Công ty TNHH MTV Dịch vụ Tasco),Hà Nội,Dịch vụ,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Tasco Land,Công ty con trực tiếp > - Công ty TNHH Tasco Land,- Công ty TNHH Tasco Land,Hà Nội,Bất động sản,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Bảo hiểm Tasco,Công ty con trực tiếp > - Công ty TNHH Bảo hiểm Tasco,- Công ty TNHH Bảo hiểm Tasco,Hà Nội,Bảo hiểm phi nhân thọ,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH Tasco Auto(Tên cũ: Công ty TNHH SVC Holdings),Công ty con trực tiếp > - Công ty TNHH Tasco Auto(Tên cũ: Công ty TNHH SVC Holdings),- Công ty TNHH Tasco Auto(Tên cũ: Công ty TNHH SVC Holdings),Hà Nội,Dịch vụ thương mại,"100,00%","100,00%",,,1.0,1.0
Công ty con giãn tiếp,Công ty con giãn tiếp,Công ty con giãn tiếp,Công ty con giãn tiếp,Công ty con giãn tiếp,Công ty con giãn tiếp,Công ty con giãn tiếp,,,,
- Công ty cổ phần Tasco Nam Thái,Công ty con giãn tiếp > - Công ty cổ phần Tasco Nam Thái,- Công ty cổ phần Tasco Nam Thái,Thái Bình,Xây lắp,"99,97%","99,97%",,,0.9997,0.9997
- Công ty TNHH MTV Tasco 6,Công ty con giãn tiếp > - Công ty TNHH MTV Tasco 6,- Công ty TNHH MTV Tasco 6,Nam Định,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Quảng Bình,Công ty con giãn tiếp > - Công ty TNHH MTV Tasco Quảng Bình,- Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH MTV Tasco Hải Phòng,Công ty con giãn tiếp > - Công ty TNHH MTV Tasco Hải Phòng,- Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,Hạ tầng giao thông,"100,00%","100,00%",,,1.0,1.0
- Công ty TNHH thu phí tự động VETC,Công ty con giãn tiếp > - Công ty TNHH thu phí tự động VETC,- Công ty TNHH thu phí tự động VETC,Hà Nội,Dịch vụ thu phí,"99,35%","100,00%",,,0.9934999999999999,1.0
