row_label_raw,row_label_full,- Ông Nguyễn Minh Hiếu > - Bà Trần Minh Trang > - Bà Nguyễn Thị Hải Yến,Trường Ban Kiểm soát > Thành viên,Bổ nhiệm ngày 26/04/2023 > Miễn nhiệm ngày 26/04/2023,numeric__Trường Ban Kiểm soát > Thành viên,numeric__Bổ nhiệm ngày 26/04/2023 > Miễn nhiệm ngày 26/04/2023
- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,- Bà Hoàng Thị Soa,Thành viên,,,
- Bà Đăng Thùy Linh,- Bà Đăng Thùy Linh,- Bà Đăng Thùy Linh,Thành viên,Bổ nhiệm ngày 26/04/2023,,
