row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,1.330.440.578.584,1.410.249.376.686,,300.0,,1330440578584.0,1410249376686.0
I.,I.,I.,Nợ ngắn hạn,310,,542.768.951.320,680.040.385.790,,310.0,,542768951320.0,680040385790.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.13,123.007.383.785,137.275.943.551,,311.0,,123007383785.0,137275943551.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.14.1,104.614.945.572,121.748.442.838,,312.0,,104614945572.0,121748442838.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.15.1,66.110.988.729,99.602.055.827,,313.0,,66110988729.0,99602055827.0
4.,4.,4.,Phải trả người lao động,314,,5.637.412.040,5.125.763.048,,314.0,,5637412040.0,5125763048.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,V.16,56.310.589.720,47.894.966.084,,315.0,,56310589720.0,47894966084.0
6.,6.,6.,Phải trả ngắn hạn khác,319,V.17.1,124.997.375.693,136.734.095.176,,319.0,,124997375693.0,136734095176.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,V.18.1,40.240.000.000,109.808.863.485,,320.0,,40240000000.0,109808863485.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,21.850.255.781,21.850.255.781,,322.0,,21850255781.0,21850255781.0
II.,II.,II.,Nợ dài hạn,330,,787.671.627.264,730.208.990.896,,330.0,,787671627264.0,730208990896.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,V.14.2,63.449.638.708,94.565.298.415,,332.0,,63449638708.0,94565298415.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,,1.394.176.398,596.268.865,,336.0,,1394176398.0,596268865.0
3.,3.,3.,Phải trả dài hạn khác,337,V.17.2,662.299.212.158,604.483.246.339,,337.0,,662299212158.0,604483246339.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,V.18.2,60.528.600.000,30.564.177.277,,338.0,,60528600000.0,30564177277.0
D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,D - NGUỒN VỐN CHỦ SỞ HỮU,400,,19.729.185.093.532,4.395.556.932.942,,400.0,,19729185093532.0,4395556932942.0
I.,I.,I.,Vốn chủ sở hữu,410,V.19,19.729.185.093.532,4.395.556.932.942,,410.0,,19729185093532.0,4395556932942.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,8.925.119.650.000,3.486.319.650.000,,411.0,,8925119650000.0,3486319650000.0
-,-,-,Cổ phiếu phổ thông có quyền biểu quyết,411a,,8.925.119.650.000,3.486.319.650.000,,,,8925119650000.0,3486319650000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,9.928.286.444.796,84.146.444.796,,412.0,,9928286444796.0,84146444796.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,123.011.473.161,123.011.473.161,,418.0,,123011473161.0,123011473161.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,752.767.525.575,702.079.364.985,,421.0,,752767525575.0,702079364985.0
-,-,-,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,702.048.965.985,529.925.582.253,,,,702048965985.0,529925582253.0
-,-,-,LNST chưa phân phối kỳ này,421b,,50.718.559.590,172.153.782.732,,,,50718559590.0,172153782732.0
,,,TỔNG CỘNG NGUỒN VỐN,440,,21.059.625.672.116,5.805.806.309.628,,440.0,,21059625672116.0,5805806309628.0
