row_label_raw,row_label_full,Tổ chức phát hành,": Công ty cổ phần Tasco (""Tasco"")","numeric__: Công ty cổ phần Tasco (""Tasco"")"
Tên cổ phiếu phát hành,Tên cổ phiếu phát hành,Tên cổ phiếu phát hành,: Cổ phiếu Công ty cổ phần Tasco,
Mã chứng khoán,Mã chứng khoán,Mã chứng khoán,: HUT,
Loại cổ phiếu chào bán,Loại cổ phiếu chào bán,Loại cổ phiếu chào bán,: Cổ phiếu phổ thông,
Số lượng cổ phiếu lưu hành tại,Số lượng cổ phiếu lưu hành tại,Số lượng cổ phiếu lưu hành tại,: 348.631.965 cổ phiếu,
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,: 543.880.000 cổ phiếu,
Mệnh giá,Mệnh giá,Mệnh giá,: 10.000 đồng/cổ phiếu,
Tổng giá trị cổ phiếu phát hành theo mệnh giá,Tổng giá trị cổ phiếu phát hành theo mệnh giá,Tổng giá trị cổ phiếu phát hành theo mệnh giá,: 5.438.800.000.000 đồng (bằng chữ: Năm nghìn bốn trăm ba mươi tám tỷ tám trăm triệu đồng),
Đối tượng phát hành,Đối tượng phát hành,Đối tượng phát hành,: Là 21 cổ đông của Công ty cổ phần SVC Holdings theo Danh sách tại Nghị quyết số 23/2023/NQ-HĐQT ngày 05/09/2023.,
Phương thức phát hành,Phương thức phát hành,Phương thức phát hành,: Phát hành riêng lẻ cho nhà đầu tư,
Tỷ lệ hoán đổi,Tỷ lệ hoán đổi,Tỷ lệ hoán đổi,": 1:1, theo đó 01 cổ phiếu của Công ty cổ phần SVC Holdings được hoán đổi lấy 01 cổ phiếu của Công ty cổ phần Tasco.",
Hạn chế chuyển nhượng,Hạn chế chuyển nhượng,Hạn chế chuyển nhượng,: Cổ phiếu phát hành theo Phương án phát hành này bị hạn chế chuyển nhượng theo Công văn số 268 /Tasco ngày 15/08/2023 và Nghị quyết số 23/2023/NQ-HĐQT ngày 05/09/2023 thông qua kết quả phát hành cổ phiếu để hoán đổi cho cổ đông của Công ty cổ phần SVC Holdings.,
Phương án đảm bảo việc phát hành cổ phiếu đáp ứng quy định về sở hữu nước ngoài,Phương án đảm bảo việc phát hành cổ phiếu đáp ứng quy định về sở hữu nước ngoài,Phương án đảm bảo việc phát hành cổ phiếu đáp ứng quy định về sở hữu nước ngoài,": Đợt phát hành theo phương án phát hành này chỉ phát hành cho đối tượng là nhà đầu tư trong nước, do đó Công ty đảm bảo về tỷ lệ sở hữu nước ngoài theo quy định.",
Phương án xử lý cổ phiếu lẻ,Phương án xử lý cổ phiếu lẻ,Phương án xử lý cổ phiếu lẻ,": Do tỷ lệ hoán đổi cổ phần là 1:1, việc phát hành để hoán đổi không làm phát sinh cổ phiếu lẻ.",
Thời gian phát hành,Thời gian phát hành,Thời gian phát hành,": Ngày 25/08/2023, Công ty đã nhận được Công văn số 5880/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước về việc phát hành cổ phiếu riêng lẻ để hoán đổi cổ phần với các cổ đông của SVC Holdings.Theo Nghị quyết số 23/2023/NQ-HĐQT ngày 05/09/2023, báo cáo kết quả đợt phát hành cổ phiếu để hoán đổi cổ phần cho cổ đông công ty cổ phần chưa đại chúng số 29/BC-Tasco ngày 05/09/2023, ngày 31/08/2023 Công ty đã kết thúc việc phát hành cổ phiếu để hoán đổi.Ngày 08/09/2023, Công ty đã nhận được Công văn số 6106/UBCK-QLCB của Ủy ban Chứng khoán Nhà nước thông qua Báo cáo kết quả phát hành cổ phiếu riêng lẻ để hoán đổi của HUT.",
