row_label_raw,row_label_full,col_0,Phần mềm máy tính,Tổng cộng,numeric__Phần mềm máy tính,numeric__Tổng cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,2.335.523.000,2.335.523.000,2335523000.0,2335523000.0
Hủy bỏ,NGUYÊN GIÁ > Hủy bỏ,Hủy bỏ,(257.400.000),(257.400.000),-257400000.0,-257400000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.078.123.000,2.078.123.000,2078123000.0,2078123000.0
HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,HAO MÒN LUỸ KẾ,,
Số đầu năm,HAO MÒN LUỸ KẾ > Số đầu năm,Số đầu năm,2.335.523.000,2.335.523.000,2335523000.0,2335523000.0
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,-,-,,
Hủy bỏ,Khấu hao trong năm > Hủy bỏ,Hủy bỏ,(257.400.000),(257.400.000),-257400000.0,-257400000.0
Số cuối năm,Khấu hao trong năm > Số cuối năm,Số cuối năm,2.078.123.000,2.078.123.000,2078123000.0,2078123000.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,,
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,
