row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,118.341.733.066,118.341.733.066,132.206.534.456,132.206.534.456,118341733066.0,118341733066.0,132206534456.0,132206534456.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,75.965.567.895,75.965.567.895,84.254.116.786,84.254.116.786,75965567895.0,75965567895.0,84254116786.0,84254116786.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,33.862.408.994,33.862.408.994,42.447.620.405,42.447.620.405,33862408994.0,33862408994.0,42447620405.0,42447620405.0
Công ty cổ phần xây dựng giao thông Yên Bái,Công ty cổ phần xây dựng giao thông Yên Bái,Công ty cổ phần xây dựng giao thông Yên Bái,5.344.960.844,5.344.960.844,13.930.172.255,13.930.172.255,5344960844.0,5344960844.0,13930172255.0,13930172255.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,28.517.448.150,28.517.448.150,28.517.448.150,28.517.448.150,28517448150.0,28517448150.0,28517448150.0,28517448150.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,8.513.756.177,8.513.756.177,5.504.797.265,5.504.797.265,8513756177.0,8513756177.0,5504797265.0,5504797265.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,4.665.650.719,4.665.650.719,5.069.409.095,5.069.409.095,4665650719.0,4665650719.0,5069409095.0,5069409095.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,138.217.622,138.217.622,-,-,138217622.0,138217622.0,,
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,4.527.433.097,4.527.433.097,5.069.409.095,5.069.409.095,4527433097.0,4527433097.0,5069409095.0,5069409095.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,123.007.383.785,123.007.383.785,137.275.943.551,137.275.943.551,123007383785.0,123007383785.0,137275943551.0,137275943551.0
