row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,2.1 Chứng khoán kinh doanh,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Công ty TNHH MTV Tasco 6,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,-,,-,65.180.000.000,,-,,,,65180000000.0,,
Công ty TNHH Ana Services (i)Tên cũ: Công ty TNHH MTV Dịch vụ Tasco,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Ana Services (i)Tên cũ: Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH Ana Services (i)Tên cũ: Công ty TNHH MTV Dịch vụ Tasco,15.000.000.000,,(863.481.694),2.418.316.160,,(1.867.453.842),15000000000.0,,-863481694.0,2418316160.0,,-1867453842.0
Công ty TNHH MTV Tasco Quảng Bình,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,-,,-,328.130.000.000,,-,,,,328130000000.0,,
Công ty TNHH MTV Tasco Nam Định (ii),2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco Nam Định (ii),Công ty TNHH MTV Tasco Nam Định (ii),-,,-,1.000.000.000,,-,,,,1000000000.0,,
Công ty TNHH MTV Tasco Hải Phòng,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,-,,-,395.600.000.000,,-,,,,395600000000.0,,
Công ty cổ phần VETC,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty cổ phần VETC,Công ty cổ phần VETC,741.900.000.000,,(247.300.000.000),741.900.000.000,,(247.300.000.000),741900000000.0,,-247300000000.0,741900000000.0,,-247300000000.0
Công ty TNHH thu phí tự động VETC,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,32.493.000.000,,(32.493.000.000),32.493.000.000,,(32.493.000.000),32493000000.0,,-32493000000.0,32493000000.0,,-32493000000.0
Công ty TNHH MTV Tasco BOT (iii),2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH MTV Tasco BOT (iii),Công ty TNHH MTV Tasco BOT (iii),1.157.760.000.000,,-,-,,-,1157760000000.0,,,,,
Công ty TNHH Tasco Land (iv),2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Tasco Land (iv),Công ty TNHH Tasco Land (iv),750.000.000.000,,-,200.000.000.000,,-,750000000000.0,,,200000000000.0,,
Công ty TNHH Bảo hiểm Tasco,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Bảo hiểm Tasco,Công ty TNHH Bảo hiểm Tasco,402.164.417.793,,-,402.164.417.793,,-,402164417793.0,,,402164417793.0,,
Công ty TNHH Tasco Auto (v)Tên cũ: Công ty TNHH SVC Holdings,2.2 Đầu tư góp vốn vào đơn vị khác > Công ty TNHH Tasco Auto (v)Tên cũ: Công ty TNHH SVC Holdings,Công ty TNHH Tasco Auto (v)Tên cũ: Công ty TNHH SVC Holdings,15.283.028.000.000,,-,-,,-,15283028000000.0,,,,,
