row_label_raw,row_label_full,col_0,Investmentproperties held,Total,numeric__Investmentproperties held,numeric__Total
,,,VND,VND,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,
Beginning balance,Beginning balance,Beginning balance,"501,705,503,467","501,705,503,467",,
Ending balance of the year,Ending balance of the year,Ending balance of the year,"501,705,503,467","501,705,503,467",,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,
Beginning balance,Beginning balance,Beginning balance,"48,282,238,492","48,282,238,492",,
- Depreciation in the year,- Depreciation in the year,- Depreciation in the year,"16,134,862,367","16,134,862,367",,
Ending balance of the year,Ending balance of the year,Ending balance of the year,"64,417,100,859","64,417,100,859",,
Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,Net carrying amount,,
Beginning balance,Beginning balance,Beginning balance,"453,423,264,975","453,423,264,975",,
Ending balance,Ending balance,Ending balance,"437,288,402,608","437,288,402,608",,
