row_label_raw,row_label_full,col_0,Kinh doanh ô tô,Kinh doanh Bất động sản,Hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Kinh doanh ô tô,numeric__Kinh doanh Bất động sản,numeric__Hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,522.049.005.478,45.495.182.201,3.680.987.661,571.225.175.340,522049005478.0,45495182201.0,3680987661.0,571225175340.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,471.474.321.065,32.539.494.168,3.281.052.768,507.294.868.001,471474321065.0,32539494168.0,3281052768.0,507294868001.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,50.574.684.413,12.955.688.033,399.934.893,63.930.307.339,50574684413.0,12955688033.0,399934893.0,63930307339.0
Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,20.659.756.974,6.008.935.186,-,26.668.692.160,20659756974.0,6008935186.0,,26668692160.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,462.063.784.662,451.043.135.246,-,913.106.919.908,462063784662.0,451043135246.0,,913106919908.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,4.537.009.027.221,,,,4537009027221.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,482.723.541.636,457.052.070.432,-,5.476.784.639.289,482723541636.0,457052070432.0,,5476784639289.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,505.960.161.314,4.929.832.509,-,510.889.993.823,505960161314.0,4929832509.0,,510889993823.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,119.491.468.915,,,,119491468915.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,505.960.161.314,4.929.832.509,-,630.381.462.738,505960161314.0,4929832509.0,,630381462738.0
