row_label_raw,row_label_full,col_0,col_1,col_2,Year 2024,Year 2023,numeric__col_1,numeric__col_2,numeric__Year 2024,numeric__Year 2023
"Purchasing goods, services - Office rental","Purchasing goods, services - Office rental","Purchasing goods, services - Office rental","Purchasing goods, services - Office rental",Company,"906,000,000","910,800,000",,,,
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Investment Services Joint Stock Company,"630,000,000","630,000,000",,,,
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Giang Service Development Joint Stock Company,"60,000,000","60,000,000",,,,
Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Hoang Huy Financial Services Investment Joint Stock Company,Pruksa Vietnam Company Limited,"216,000,000","220,800,000",,,,
