row_label_raw,row_label_full,col_0,Capital Contribution by,Share premium,Investment and development fund,Retained earnings,Non-Controlling Interest,Total,numeric__Capital Contribution by,numeric__Share premium,numeric__Investment and development fund,numeric__Retained earnings,numeric__Non-Controlling Interest,numeric__Total
,,,VND,VND,VND,VND,VND,VND,,,,,,
Beginning balance of previous year,Beginning balance of previous year,Beginning balance of previous year,"3,214,481,530,000","1,976,351,645","19,572,915,034","852,278,552,896","77,827,179,766","4,166,136,529,341",,,,,,
Profit for the previous year,Profit for the previous year,Profit for the previous year,-,-,-,"348,147,604,458","3,703,226,184","351,850,830,642",,,,,,
Dividends paid in shares,Dividends paid in shares,Dividends paid in shares,"257,125,600,000",-,-,"(257,125,600,000)",-,-,,,,,,
Adjustment due to change in the benefit ratio of subsidiaries,Adjustment due to change in the benefit ratio of subsidiaries,Adjustment due to change in the benefit ratio of subsidiaries,-,-,-,"6,885,030","(6,885,030)",-,,,,,,
Dividend,Dividend,Dividend,-,-,-,-,"(16,706,482,593)","(16,706,482,593)",,,,,,
Ending balance of previous year,Ending balance of previous year,Ending balance of previous year,"3,471,607,130,000","1,976,351,645","19,572,915,034","943,307,442,384","64,817,038,327","4,501,280,877,390",,,,,,
Beginning balance of current year,Beginning balance of current year,Beginning balance of current year,"3,471,607,130,000","1,976,351,645","19,572,915,034","943,307,442,384","64,817,038,327","4,501,280,877,390",,,,,,
Profit for this year,Profit for this year,Profit for this year,-,-,-,"367,192,744,446","1,422,991,386","368,615,735,832",,,,,,
Dividends paid in shares (**),Dividends paid in shares (**),Dividends paid in shares (**),"208,252,550,000",-,-,"(208,252,550,000)",-,-,,,,,,
Dividend (*),Dividend (*),Dividend (*),-,-,-,-,"(6,879,139,891)","(6,879,139,891)",,,,,,
Profits retained awaiting distribution,Profits retained awaiting distribution,Profits retained awaiting distribution,-,-,-,"(16,614,296,780)",-,"(16,614,296,780)",,,,,,
Ending balance of this year,Ending balance of this year,Ending balance of this year,"3,679,859,680,000","1,976,351,645","19,572,915,034","1,085,633,340,050","59,360,889,822","4,846,403,176,551",,,,,,
