row_label_raw,row_label_full,Code ITEMS,Code ITEMS_1,Note,Year 2024,Year 2023,numeric__Code ITEMS_1,numeric__Note,numeric__Year 2024,numeric__Year 2023
Code ITEMS,Code ITEMS,Code ITEMS,Code ITEMS,Note,VND,VND,,,,
,,,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,I. CASH FLOWS FROM OPERATING ACTIVITIES,,,,
01,01,01,1. Profit before tax,"381,772,407,300","360,787,344,734",,,,,
01,01,01,2. Adjustment for,"(341,947,716,701)","(329,939,759,733)",,,,,
02,02,02,- Depreciation of fixed assets and investment real estate,"18,663,615,311","16,096,257,727",,,,,
03,03,03,- Provisions,"551,316,327","(7,875,813,464)",,,,,
04,04,04,- Gains and losses from exchange rate differences due to revaluation,"4,376,730,209","2,854,623,400",,,,,
05,05,05,- Gains / losses from investment activities,"(365,539,378,548)","(351,515,439,766)",,,,,
06,06,06,- Interest expenses,-,"1,799,147,419",,,,,
07,07,07,- Other adjustments,-,"8,701,464,951",,,,,
08,08,08,3. Operating profit before changes in working capital,"39,824,690,599","30,847,585,001",,,,,
09,09,09,- Increase or decrease in receivables,"(41,801,853,540)","(39,217,975,519)",,,,,
10,10,10,- Increase or decrease in inventories,"(126,352,160,582)","128,672,102,433",,,,,
11,11,11,- Increase or decrease in payables (excluding interest payable/ corporate income tax payable),"427,316,265,445","(33,553,443,152)",,,,,
12,12,12,- Increase or decrease in prepaid expenses,"(1,024,460,663)","2,617,482,148",,,,,
14,14,14,- Interest paid,,"(1,907,640,569)",,,,,
15,15,15,- Corporate income tax paid,"(7,349,252,745)","(4,561,247,448)",,,,,
20,20,20,Net cash flow from operating activities,"290,613,228,514","82,896,862,894",,,,,
,,,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,II. CASH FLOWS FROM INVESTING ACTIVITIES,,,,
21,21,21,1. Purchase or construction of fixed assets and other long-term assets,"(26,668,692,160)","(264,363,751,855)",,,,,
22,22,22,2. Proceeds from disposals of fixed assets and other long-term assets,"23,335,441,676","7,163,636,364",,,,,
23,23,23,3. Loans and purchase of debt instruments from other,"(1,509,368,491,931)","(791,926,066,400)",,,,,
24,24,24,4. Collection of loans and resale of debt instrument of other entities,"1,133,903,326,085","730,478,594,521",,,,,
27,27,27,"5. Interest, dividend and profit received","66,909,105,175","231,212,427,427",,,,,
30,30,30,Net cash flow from investing activities,"(311,889,311,155)","(87,435,159,943)",,,,,
,,,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,III. CASH FLOWS FROM FINANCING ACTIVITIES,,,,
34,34,34,1. Loan principal repayment,-,"(138,303,975,600)",,,,,
36,36,36,2. Dividends or profits paid to owners,"(12,357,884)","(30,012,005)",,,,,
40,40,40,Net cash flow from financing activities,"(12,357,884)","(138,333,987,605)",,,,,
50,50,50,Net cash flow during the year,"(21,288,440,525)","(142,872,284,654)",,,,,
