row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.214.481.530.000,1.976.351.645,19.572.915.034,852.278.552.896,77.827.179.766,4.166.136.529.341,3214481530000.0,1976351645.0,19572915034.0,852278552896.0,77827179766.0,4166136529341.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,348.147.604.458,3.703.226.184,351.850.830.642,,,,348147604458.0,3703226184.0,351850830642.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,257.125.600.000,-,-,(257.125.600.000),-,-,257125600000.0,,,-257125600000.0,,
Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,Lãi lỗ do thay đổi tỉ lệ lợi ích của Công ty con,-,-,-,6.885.030,(6.885.030),-,,,,6885030.0,-6885030.0,
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(16.706.482.593),(16.706.482.593),,,,,-16706482593.0,-16706482593.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.471.607.130.000,1.976.351.645,19.572.915.034,943.307.442.384,64.817.038.327,4.501.280.877.390,3471607130000.0,1976351645.0,19572915034.0,943307442384.0,64817038327.0,4501280877390.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.471.607.130.000,1.976.351.645,19.572.915.034,943.307.442.384,64.817.038.327,4.501.280.877.390,3471607130000.0,1976351645.0,19572915034.0,943307442384.0,64817038327.0,4501280877390.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,367.192.744.446,1.422.991.386,368.615.735.832,,,,367192744446.0,1422991386.0,368615735832.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,208.252.550.000,-,-,(208.252.550.000),-,-,208252550000.0,,,-208252550000.0,,
Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,-,(6.879.139.891),(6.879.139.891),,,,,-6879139891.0,-6879139891.0
Lợi nhuận giữ lại chờ phân phối,Lợi nhuận giữ lại chờ phân phối,Lợi nhuận giữ lại chờ phân phối,-,-,-,(16.614.296.780),-,(16.614.296.780),,,,-16614296780.0,,-16614296780.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.679.859.680.000,1.976.351.645,19.572.915.034,1.085.633.340.050,59.360.889.822,4.846.403.176.551,3679859680000.0,1976351645.0,19572915034.0,1085633340050.0,59360889822.0,4846403176551.0
