row_label_raw,row_label_full,col_0,Car business,Real estate business,Other activities,Total enterprise,numeric__Car business,numeric__Real estate business,numeric__Other activities,numeric__Total enterprise
,,,VND,VND,VND,VND,,,,
Net revenue from external sales,Net revenue from external sales,Net revenue from external sales,"522,049,005,478","45,495,182,201","3,680,987,661","571,225,175,340",,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"471,474,321,065","32,539,494,168","3,281,052,768","507,294,868,001",,,,
Gross profit frombusiness operations,Gross profit frombusiness operations,Gross profit frombusiness operations,"50,574,684,413","12,955,688,033","399,934,893","63,930,307,339",,,,
Total cost of acquiring fixed assets,Total cost of acquiring fixed assets,Total cost of acquiring fixed assets,"20,659,756,974","6,008,935,186",-,"26,668,692,160",,,,
Segment assets,Segment assets,Segment assets,"462,063,784,662","451,043,135,246",-,"913,106,919,908",,,,
Unallocated assets,Unallocated assets,Unallocated assets,,,,"4,537,009,027,221",,,,
Total assets,Total assets,Total assets,"482,723,541,636","457,052,070,432",-,"5,476,784,639,289",,,,
Liabilities of segments,Liabilities of segments,Liabilities of segments,"505,960,161,314","4,929,832,509",-,"510,889,993,823",,,,
Unallocated liabilities,Unallocated liabilities,Unallocated liabilities,,,,"119,491,468,915",,,,
Total liabilities,Total liabilities,Total liabilities,"505,960,161,314","4,929,832,509",-,"630,381,462,738",,,,
