row_label_raw,row_label_full,Hoang Huy Financial Services Investment Joint Stock Parent company Company,Hoang Huy Financial Services Investment Joint Stock Parent company Company_1,numeric__Hoang Huy Financial Services Investment Joint Stock Parent company Company_1
CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,CRV Real Estate Group Joint Stock Company,Associated,
"Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.","Members of the Board of Directors, the Board of Management, Supervisory Board and their related parties.",
