row_label_raw,row_label_full,Phân phối lợi nhuận,Tại Công ty mẹ (1),Các công ty con phân phối cho,Các công ty con phân phối cho_1,Cộng (4) = (1) + (2) + (3),numeric__Tại Công ty mẹ (1),numeric__Các công ty con phân phối cho,numeric__Các công ty con phân phối cho_1,numeric__Cộng (4) = (1) + (2) + (3)
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,Tại Công ty mẹ (1),Công ty mẹ (2),Cổ đông không kiểm soát (3),Cộng (4) = (1) + (2) + (3),,,,
,,,VND,VND,VND,VND,,,,
- Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy trả cổ tức bằng cổ phiếu,Phân phối lợi nhuận > - Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy trả cổ tức bằng cổ phiếu,- Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy trả cổ tức bằng cổ phiếu,208.252.550.000,-,-,208.252.550.000,208252550000.0,,,208252550000.0
- Công ty TNHH Pruksa Việt Nam chia lợi nhuận,Phân phối lợi nhuận > - Công ty TNHH Pruksa Việt Nam chia lợi nhuận,- Công ty TNHH Pruksa Việt Nam chia lợi nhuận,-,63.120.860.109,6.879.139.891,70.000.000.000,,63120860109.0,6879139891.0,70000000000.0
