row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn",TSCĐ dùngtrong quản lý,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.969.755.113,3.762.238.587,998.305.455,651.176.071,8.381.475.226,2969755113.0,3762238587.0,998305455.0,651176071.0,8381475226.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,19.779.457.444,34.954.091,19.814.411.535,,,19779457444.0,34954091.0,19814411535.0
- Đầu tư xây dựng cơbản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơbản hoàn thành,- Đầu tư xây dựng cơbản hoàn thành,4.446.922.612,-,-,-,4.446.922.612,4446922612.0,,,,4446922612.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(206.018.000),-,(206.018.000),,,-206018000.0,,-206018000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.416.677.725,3.762.238.587,20.571.744.899,686.130.162,32.436.791.373,7416677725.0,3762238587.0,20571744899.0,686130162.0,32436791373.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.494.857.006,1.643.805.652,998.305.455,651.176.071,4.788.144.184,1494857006.0,1643805652.0,998305455.0,651176071.0,4788144184.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,476.870.171,320.058.696,1.569.758.084,10.962.305,2.377.649.256,476870171.0,320058696.0,1569758084.0,10962305.0,2377649256.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.971.727.177,1.963.864.348,2.568.063.539,662.138.376,7.165.793.440,1971727177.0,1963864348.0,2568063539.0,662138376.0,7165793440.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.474.898.107,2.118.432.935,-,-,3.593.331.042,1474898107.0,2118432935.0,,,3593331042.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.444.950.548,1.798.374.239,18.003.681.360,23.991.786,25.270.997.933,5444950548.0,1798374239.0,18003681360.0,23991786.0,25270997933.0
