row_label_raw,row_label_full,Mr. Do Huu Ha,Chairman,col_2,numeric__Chairman,numeric__col_2
Mr. Do Huu Hau,Mr. Do Huu Hau,Mr. Do Huu Hau,Board Member,,,
Mrs. Nguyen Thi Ha,Mrs. Nguyen Thi Ha,Mrs. Nguyen Thi Ha,Board Member,,,
Mr. Nguyen The Hung,Mr. Nguyen The Hung,Mr. Nguyen The Hung,Board Member,(Appointed on 12 April 2024),,
Mrs. Nguyen Thi Kim Phung,Mrs. Nguyen Thi Kim Phung,Mrs. Nguyen Thi Kim Phung,Independent Board Member,(Appointed on 12 April 2024),,
Mr: Tran Manh Luan,Mr: Tran Manh Luan,Mr: Tran Manh Luan,Independent Board Member,"(Resigned on April 12, 2024)",,
Mrs. Nguyen Thi Thu Trang,Mrs. Nguyen Thi Thu Trang,Mrs. Nguyen Thi Thu Trang,Independent Board Member,"(Resigned on April 12, 2024)",,
