row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
- Phải thu lãi tiền gửi,a) Ngắn hạn > - Phải thu lãi tiền gửi,- Phải thu lãi tiền gửi,14.677.976.765,-,15.293.994.648,-,14677976765.0,,15293994648.0,
"- Ký cược, ký quỹ","a) Ngắn hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",3.000.000,-,1.002.352.000,-,3000000.0,,1002352000.0,
- Phải thu tiền thuế GTGT nhập khẩu của lô hàng mua di đường,a) Ngắn hạn > - Phải thu tiền thuế GTGT nhập khẩu của lô hàng mua di đường,- Phải thu tiền thuế GTGT nhập khẩu của lô hàng mua di đường,-,-,1.659.849.984,-,,,1659849984.0,
- Phải thu khác,a) Ngắn hạn > - Phải thu khác,- Phải thu khác,2.799.337.350,-,2.794.174.097,-,2799337350.0,,2794174097.0,
,,,17.480.314.115,-,20.750.370.729,-,17480314115.0,,20750370729.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
"- Ký cược, ký quỹ","b) Dài hạn > - Ký cược, ký quỹ","- Ký cược, ký quỹ",120.000.000,-,-,-,120000000.0,,,
,,,120.000.000,-,-,-,120000000.0,,,
