row_label_raw,row_label_full,Code,ITEMS,Note,Year 2024VND,Year 2023VND,numeric__ITEMS,numeric__Note,numeric__Year 2024VND,numeric__Year 2023VND
01,01,01,1. Revenue from sales and service rendered,24,"571,225,175,340","366,584,514,938",,24.0,,
02,02,02,2. Revenue deductions,,-,"9,259,259",,,,
10,10,10,3. Net revenue from sales and service rendered,,"571,225,175,340","366,575,255,679",,,,
11,10 > 11,11,4. Cost of goods sold,25,"507,294,868,001","325,971,613,689",,25.0,,
20,20,20,5. Gross profit on sales and service rendered,,"63,930,307,339","40,603,641,990",,,,
21,20 > 21,21,6. Financial income,26,"68,489,677,097","234,586,736,271",,26.0,,
22,20 > 22,22,7. Financial expense,27,"9,114,402,444","5,422,868,558",,27.0,,
23,23,23,In which: Interest expense,,-,"1,799,147,419",,,,
24,24,24,8. Profit or loss in joint ventures and associates,,"291,668,212,675","117,497,921,768",,,,
25,24 > 25,25,9. Selling expense,28,"31,680,663,376","26,143,107,407",,28.0,,
26,24 > 26,26,10. Business management costs,29,"9,919,964,567","9,937,165,626",,29.0,,
30,30,30,11. Net profit from operating activities,,"373,373,166,724","351,185,158,438",,,,
31,30 > 31,31,12. Other income,30,"10,389,588,485","10,502,592,420",,30.0,,
32,32,32,13. Other expenses,,"1,990,347,909","900,406,124",,,,
40,40,40,14. Other profits,,"8,399,240,576","9,602,186,296",,,,
50,50,50,15. Total accounting profit before tax,,"381,772,407,300","360,787,344,734",,,,
51,50 > 51,51,16. Current corporate income tax expense,31,"13,156,671,468","8,936,514,092",,31.0,,
60,60,60,18. Profit after corporate income tax,,"368,615,735,832","351,850,830,642",,,,
61,61,61,19. Profit after tax attributable to owners of the parent,,"367,192,744,446","348,147,604,458",,,,
62,62,62,20. Profit after tax attributable to non-controlling interest,,"1,422,991,386","3,703,226,184",,,,
70,62 > 70,70,21. Basic earnings per share,32,998,946,,32.0,998.0,946.0
