row_label_raw,row_label_full,col_0,The North,The Southern,The Central region,Total enterprise,numeric__The North,numeric__The Southern,numeric__The Central region,numeric__Total enterprise
,,,VND,VND,VND,VND,,,,
Net revenue from external sales,Net revenue from external sales,Net revenue from external sales,"362,369,580,399","157,389,508,622","51,466,086,319","571,225,175,340",,,,
Segment assets,Segment assets,Segment assets,,,,"5,450,115,947,129",,,,
Total cost of acquiring fixed assets,Total cost of acquiring fixed assets,Total cost of acquiring fixed assets,,,,"26,668,692,160",,,,
