row_label_raw,row_label_full,col_0,Bất động sản đầu tư cho thuê,Cộng,numeric__Bất động sản đầu tư cho thuê,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,501.705.503.467,501.705.503.467,501705503467.0,501705503467.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,501.705.503.467,501.705.503.467,501705503467.0,501705503467.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,48.282.238.492,48.282.238.492,48282238492.0,48282238492.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,16.134.862.367,16.134.862.367,16134862367.0,16134862367.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,64.417.100.859,64.417.100.859,64417100859.0,64417100859.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,453.423.264.975,453.423.264.975,453423264975.0,453423264975.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,437.288.402.608,437.288.402.608,437288402608.0,437288402608.0
