row_label_raw,row_label_full,col_0,Giá trị đầu tư vào,Giá trị đầu tư vào_1,Giá trị đầu tư vào_2,numeric__Giá trị đầu tư vào,numeric__Giá trị đầu tư vào_1,numeric__Giá trị đầu tư vào_2
,,,Trường Phú,Solwind,Tổng cộng,,,
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,93.800.000.000,49.990.000.000,143.790.000.000,93800000000.0,49990000000.0,143790000000.0
Thanh lý khoản đầu tư,Giá trị đầu tư: > Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,(93.800.000.000),-,(93.800.000.000),-93800000000.0,,-93800000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,-,49.990.000.000,49.990.000.000,,49990000000.0,49990000000.0
Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận sau khi mua công ty liên kết:,,,
Số đầu năm,Phần lũy kế lợi nhuận sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,27.226.987.133,2.500.474.490,29.727.461.623,27226987133.0,2500474490.0,29727461623.0
Phần lợi nhuận từ công ty liên kết,Phần lũy kế lợi nhuận sau khi mua công ty liên kết: > Phần lợi nhuận từ công ty liên kết,Phần lợi nhuận từ công ty liên kết,2.992.114.110,1.994.862.347,4.986.976.457,2992114110.0,1994862347.0,4986976457.0
Thanh lý khoản đầu tư,Phần lũy kế lợi nhuận sau khi mua công ty liên kết: > Thanh lý khoản đầu tư,Thanh lý khoản đầu tư,(30.219.101.243),-,(30.219.101.243),-30219101243.0,,-30219101243.0
Số cuối năm,Phần lũy kế lợi nhuận sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,-,4.495.336.837,4.495.336.837,,4495336837.0,4495336837.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,121.026.987.133,52.490.474.490,173.517.461.623,121026987133.0,52490474490.0,173517461623.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,54.485.336.837,54.485.336.837,,54485336837.0,54485336837.0
