row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
"Jera Asia Vietnam Holdings Pte, Ltd. (""Jera Asia"")","Jera Asia Vietnam Holdings Pte, Ltd. (""Jera Asia"")","Jera Asia Vietnam Holdings Pte, Ltd. (""Jera Asia"")",Cổ đông lớn,
"Công ty Cổ phần Đầu tư Thành Thành Công (""Đầu tư Thành Thành Công"")","Công ty Cổ phần Đầu tư Thành Thành Công (""Đầu tư Thành Thành Công"")","Công ty Cổ phần Đầu tư Thành Thành Công (""Đầu tư Thành Thành Công"")",Cổ đông lớn,
"Công ty Cổ phần Hàng tiêu dùng Biên Hòa (Biên Hòa Consumer"")","Công ty Cổ phần Hàng tiêu dùng Biên Hòa (Biên Hòa Consumer"")","Công ty Cổ phần Hàng tiêu dùng Biên Hòa (Biên Hòa Consumer"")",Cổ đông lớn,
Công ty Cổ phần Thành Thành Công - Biên Hòa,Công ty Cổ phần Thành Thành Công - Biên Hòa,Công ty Cổ phần Thành Thành Công - Biên Hòa,Cổ đông lớn,
Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Công ty Cổ phần Xuất Nhập khẩu Bến Tre,Cổ đông lớn,
"Deutsche Investitions- und Entwicklungsgesellschaft mbH (""Deutsche Investitions"")","Deutsche Investitions- und Entwicklungsgesellschaft mbH (""Deutsche Investitions"")","Deutsche Investitions- und Entwicklungsgesellschaft mbH (""Deutsche Investitions"")",Cổ đông nằm giữ cổ phiếu ưu đãi,
"Công ty TNHH Mía đường TTC Attapeu (""Mía đường TTC Attapeu"")","Công ty TNHH Mía đường TTC Attapeu (""Mía đường TTC Attapeu"")","Công ty TNHH Mía đường TTC Attapeu (""Mía đường TTC Attapeu"")",Bên liên quan của cổ đông lớn,
"Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa (""Xuất nhập khẩu Agris Ninh Hòa"")","Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa (""Xuất nhập khẩu Agris Ninh Hòa"")","Công ty Cổ phần Xuất nhập khẩu Agris Ninh Hòa (""Xuất nhập khẩu Agris Ninh Hòa"")",Bên liên quan của cổ đông lớn,
"Công ty Cổ phần Thành Thành Nam (""Thành Thành Nam"")","Công ty Cổ phần Thành Thành Nam (""Thành Thành Nam"")","Công ty Cổ phần Thành Thành Nam (""Thành Thành Nam"")",Bên liên quan của cổ đông lớn,
"Công ty TNHH Lữ hành Quốc tế TTC (""Lữ hành Quốc tế TTC"")","Công ty TNHH Lữ hành Quốc tế TTC (""Lữ hành Quốc tế TTC"")","Công ty TNHH Lữ hành Quốc tế TTC (""Lữ hành Quốc tế TTC"")",Bên liên quan của cổ đông lớn,
"Công ty Cổ phần Chè Thành Ngọc (""Chè Thành Ngọc"")","Công ty Cổ phần Chè Thành Ngọc (""Chè Thành Ngọc"")","Công ty Cổ phần Chè Thành Ngọc (""Chè Thành Ngọc"")",Bên liên quan của cổ đông lớn,
