row_label_raw,row_label_full,Ông Tân Xuân Hiến,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Ông Nguyễn Thế Vinh,Thành viên độc lập,,,
Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Thành viên độc lập,,,
Bà Phạm Thị Khuế,Bà Phạm Thị Khuế,Bà Phạm Thị Khuế,Thành viên độc lập,,,
Ông Đăng Huỳnh Anh Tuấn,Ông Đăng Huỳnh Anh Tuấn,Ông Đăng Huỳnh Anh Tuấn,Thành viên,,,
Ông Eiji Hagio,Ông Eiji Hagio,Ông Eiji Hagio,Thành viên,bổ nhiệm ngày 29 tháng 4 năm 2025,,
Ông Mark Houghton Scott Leslie,Ông Mark Houghton Scott Leslie,Ông Mark Houghton Scott Leslie,Thành viên,bổ nhiệm ngày 29 tháng 4 năm 2025,,
Ông Simon Mark Wilson,Ông Simon Mark Wilson,Ông Simon Mark Wilson,Thành viên,miễn nhiệm ngày 29 tháng 4 năm 2025,,
Ông Toshihiro Oki,Ông Toshihiro Oki,Ông Toshihiro Oki,Thành viên,miễn nhiệm ngày 29 tháng 4 năm 2025,,
