row_label_raw,row_label_full,col_0,Ending balance,Ending balance_1,Ending balance_2,Beginning balance,Beginning balance_1,Beginning balance_2,numeric__Ending balance,numeric__Ending balance_1,numeric__Ending balance_2,numeric__Beginning balance,numeric__Beginning balance_1,numeric__Beginning balance_2
,,,Total,Interest,Principal,Total,Interest,Principal,,,,,,
Within 1 year,Within 1 year,Within 1 year,"11,867,589,340","2,014,560,295","9,853,029,045","15,672,732,825","2,847,841,314","12,824,891,511",,,,,,
Between 1 and 5 years,Between 1 and 5 years,Between 1 and 5 years,"24,387,385,328","2,067,758,920","22,319,626,408","36,161,158,726","3,988,503,273","32,172,655,453",,,,,,
TOTAL,TOTAL,TOTAL,"36,254,974,668","4,082,319,215","32,172,655,453","51,833,891,551","6,836,344,587","44,997,546,964",,,,,,
