row_label_raw,row_label_full,Related party,Transaction,Ending balance,Beginning balance,numeric__Transaction,numeric__Ending balance,numeric__Beginning balance
Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,Prepayment to suppliers,,,
Tan Dinh Import Export,Tan Dinh Import Export,Tan Dinh Import Export,Purchase of goods and services,-,"199,550,000",,,
Short-term lending,Short-term lending,Short-term lending,Short-term lending,Short-term lending,Short-term lending,,,
Son Tin,Son Tin,Son Tin,Lending,"22,420,000,000","54,420,000,000",,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Lending,-,"180,900,000,000",,,
Lavi,Lavi,Lavi,Lending,-,"3,000,000,000",,,
Ninh Thuan Green,Ninh Thuan Green,Ninh Thuan Green,Lending,-,"4,000,000,000",,,
TOTAL,TOTAL,TOTAL,,"22,420,000,000","242,320,000,000",,,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,,
Son Tin,Son Tin,Son Tin,Interest income,"14,439,427,395","14,759,947,948",,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Interest income,-,"21,785,884,931",,,
Ninh Thuan Green,Ninh Thuan Green,Ninh Thuan Green,Interest income,-,"1,945,890,418",,,
TOTAL,TOTAL,TOTAL,,"14,439,427,395","38,491,723,297",,,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,,
Thanh Thanh Nam,Thanh Thanh Nam,Thanh Thanh Nam,Office rental deposit,"498,204,382","498,204,382",,,
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,,,
Bien Hoa - Thanh Long,Bien Hoa - Thanh Long,Bien Hoa - Thanh Long,Rendering of services,"1,437,362,987","1,437,362,987",,,
Short-term payables,Short-term payables,Short-term payables,Short-term payables,Short-term payables,Short-term payables,,,
Dai Tin,Dai Tin,Dai Tin,Purchase of goods and services,-,"600,000,000",,,
Other short-term payables,Other short-term payables,Other short-term payables,Other short-term payables,Other short-term payables,Other short-term payables,,,
Thanh Thanh Cong Investment,Thanh Thanh Cong Investment,Thanh Thanh Cong Investment,Dividend,"6,974,000",-,,,
