row_label_raw,row_label_full,Individuals,Position,Remuneration,Remuneration_1,numeric__Position,numeric__Remuneration,numeric__Remuneration_1
Individuals,Individuals,Individuals,Position,Current year,Previous year,,,
Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,Remuneration for members of the Board of Directors,,,
Mr Nguyen The Vinh,Mr Nguyen The Vinh,Mr Nguyen The Vinh,Member,"390,000,000","390,000,000",,,
Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Mr Dang Huynh Anh Tuan,Member,"390,000,000","390,000,000",,,
Ms Pham Thi Khue,Ms Pham Thi Khue,Ms Pham Thi Khue,Member,"390,000,000","390,000,000",,,
Ms Nguyen Thuy Van,Ms Nguyen Thuy Van,Ms Nguyen Thuy Van,Member,"390,000,000","390,000,000",,,
Mr Eiji Hagio,Mr Eiji Hagio,Mr Eiji Hagio,Member,"262,166,667",-,,,
Mr Mark Houghton Scott Leslie,Mr Mark Houghton Scott Leslie,Mr Mark Houghton Scott Leslie,Member,"262,166,667",-,,,
Mr Toshihiro Oki,Mr Toshihiro Oki,Mr Toshihiro Oki,Member,"118,000,000","390,000,000",,,
Mr Simon Mark Wilson,Mr Simon Mark Wilson,Mr Simon Mark Wilson,Member,"118,000,000","390,000,000",,,
