row_label_raw,row_label_full,col_0,col_1,Location,Bussiness activities,Ownership to registered charter capital (%),Ownership to registered charter capital (%)_1,Voting rights (%),Voting rights (%)_1,numeric__col_1,numeric__Location,numeric__Bussiness activities,numeric__Ownership to registered charter capital (%),numeric__Ownership to registered charter capital (%)_1,numeric__Voting rights (%),numeric__Voting rights (%)_1
,,,,Location,Bussiness activities,31 Dec 2025,31 Dec 2024,31 Dec 2025,31 Dec 2024,,,,,,,
(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,(a) Direct subsidiaries,,,,,,,
1.,(a) Direct subsidiaries > 1.,1.,Gia Lai Hydropower Joint Stock Company,Gia Lai Province,Produce and distribute electricity,62.53,62.53,62.53,62.53,,,,6253.0,6253.0,6253.0,6253.0
2.,(a) Direct subsidiaries > 2.,2.,TTC Duc Hue - Long An Electricity Joint Stock Company,Tay Ninh Province,Produce and distribute electricity,99.92,99.92,99.92,99.92,,,,9992.0,9992.0,9992.0,9992.0
3.,(a) Direct subsidiaries > 3.,3.,Tien Giang Wind Power Joint Stock Company,Dong Thap Province,Produce and distribute electricity,54.93,54.93,54.93,54.93,,,,5493.0,5493.0,5493.0,5493.0
4.,(a) Direct subsidiaries > 4.,4.,Truc Son Solar Power Plant Joint Stock Company,Lam Dong Province,Produce and distribute electricity,99.96,99.96,99.96,99.96,,,,9996.0,9996.0,9996.0,9996.0
5.,(a) Direct subsidiaries > 5.,5.,VPL Energy Joint Stock Company,Vinh Long Province,Produce and distribute electricity,88.84,88.84,99.98,99.98,,,,8884.0,8884.0,9998.0,9998.0
6.,(a) Direct subsidiaries > 6.,6.,Ia Bang Wind Electricity Joint Stock Company,Gia Lai Province,Produce and distribute electricity,84.72,84.72,99.53,99.53,,,,8472.0,8472.0,9953.0,9953.0
7.,(a) Direct subsidiaries > 7.,7.,Thuong Lo Hydropower One - Member Limited Company,Hue City,Produce and distribute electricity,100.00,100.00,100.00,100.00,,,,10000.0,10000.0,10000.0,10000.0
8.,(a) Direct subsidiaries > 8.,8.,VI-JA Renewable Energy Development Cooperation Joint Stock Company,Ho Chi Minh City,Produce and distribute electricity,99.00,99.00,99.00,99.00,,,,9900.0,9900.0,9900.0,9900.0
9.,(a) Direct subsidiaries > 9.,9.,Tien Giang Renewable Energy Joint Stock Company (*),Dong Thap Province,Produce and distribute electricity,99.71,99.71,99.71,99.71,,,,9971.0,9971.0,9971.0,9971.0
10.,(a) Direct subsidiaries > 10.,10.,Gia Lai Consultancy and Energy Development One - Member Limited Company,Gia Lai Province,Construct small and medium hydropower projects; produce concrete and other products from cement and gypsum,100.00,100.00,100.00,100.00,,,,10000.0,10000.0,10000.0,10000.0
11.,(a) Direct subsidiaries > 11.,11.,Ca Mau Green Energy Joint Stock Company (*),Ca Mau Province,"Produce, transmit and distribute electricity",95.00,95.00,95.00,95.00,,,,9500.0,9500.0,9500.0,9500.0
12.,(a) Direct subsidiaries > 12.,12.,Tan Thanh Renewable Power Joint Stock Company (*) (i),Dong Thap Province,Produce and distribute electricity,99.17,96.15,99.17,96.15,,,,9917.0,9615.0,9917.0,9615.0
(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,(b) Indirect subsidiary,,,,,,,
1.,(b) Indirect subsidiary > 1.,1.,Cao Nguyen Energy Joint Stock Company,Dak Lak Province,"Produce, transmit and distribute electricity",99.00,99.00,99.99,99.99,,,,9900.0,9900.0,9999.0,9999.0
(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,(c) Associates,,,,,,,
1.,(c) Associates > 1.,1.,"Truong Phu Hydropower Joint Stock Company (""Truong Phu"") (ii)",Hue City,"Produce, transmit and distribute electricity",-,25.09,-,25.09,,,,,2509.0,,2509.0
2.,(c) Associates > 2.,2.,"Solwind Energy Joint Stock Company (""Solwind"")",Ho Chi Minh City,Related power management and consulting activities,49.99,49.99,49.99,49.99,,,,4999.0,4999.0,4999.0,4999.0
