row_label_raw,row_label_full,col_0,Share capital,Share premium,Investment and development fund,Undistributed earnings,Non-controlling interests,VND Total,numeric__Share capital,numeric__Share premium,numeric__Investment and development fund,numeric__Undistributed earnings,numeric__Non-controlling interests,numeric__VND Total
Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,Previous year,,,,,,
Beginning balance,Beginning balance,Beginning balance,"4,054,494,010,000","20,700,057,484","96,354,085,823","178,508,233,688","1,417,266,004,987","5,767,322,391,982",,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"114,823,028,545","(22,749,638,463)","92,073,390,082",,,,,,
Disposal of a subsidiary,Disposal of a subsidiary,Disposal of a subsidiary,,,,"6,804,009,016","(5,740,545,423)","1,063,463,593",,,,,,
Capital contribution,Capital contribution,Capital contribution,-,-,-,-,"200,000,000","200,000,000",,,,,,
Dividend distribution by cash,Dividend distribution by cash,Dividend distribution by cash,-,-,-,"(30,522,176,434)","(45,649,453,366)","(76,171,629,800)",,,,,,
Transfer to bonus and welfare funds,Transfer to bonus and welfare funds,Transfer to bonus and welfare funds,-,-,-,"(15,006,528,380)","(4,818,393,061)","(19,824,921,441)",,,,,,
Use of investment and development funds,Use of investment and development funds,Use of investment and development funds,-,-,"(173,671,938)",-,-,"(173,671,938)",,,,,,
Dividends by share issued,Dividends by share issued,Dividends by share issued,"170,589,700,000",-,-,"(170,589,700,000)",-,-,,,,,,
Changing ownership interest in a subsidiary,Changing ownership interest in a subsidiary,Changing ownership interest in a subsidiary,-,-,-,"(941,462,752)","941,462,752",-,,,,,,
Ending balance,Ending balance,Ending balance,"4,225,083,710,000","20,700,057,484","96,180,413,885","83,075,403,683","1,339,449,437,426","5,764,489,022,478",,,,,,
Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,Current year,,,,,,
Beginning balance,Beginning balance,Beginning balance,"4,225,083,710,000","20,700,057,484","96,180,413,885","83,075,403,683","1,339,449,437,426","5,764,489,022,478",,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"708,521,811,800","238,257,041,320","946,778,853,120",,,,,,
Changing ownership interest in a subsidiary,Changing ownership interest in a subsidiary,Changing ownership interest in a subsidiary,-,-,-,"(2,633,467)","2,633,467",-,,,,,,
Dividends at subsidiaries,Dividends at subsidiaries,Dividends at subsidiaries,-,-,-,-,"(35,965,091,600)","(35,965,091,600)",,,,,,
Dividends for preferred shares (*),Dividends for preferred shares (*),Dividends for preferred shares (*),-,-,-,"(40,878,066,000)",-,"(40,878,066,000)",,,,,,
Transfer to bonus and welfare funds (**),Transfer to bonus and welfare funds (**),Transfer to bonus and welfare funds (**),-,-,-,"(44,757,588,114)","(8,677,972,886)","(53,435,561,000)",,,,,,
Reduction of share capital by repurchasing of preferred shares (***),Reduction of share capital by repurchasing of preferred shares (***),Reduction of share capital by repurchasing of preferred shares (***),"(77,040,000,000)","(6,237,171,171)",-,-,-,"(83,277,171,171)",,,,,,
Ending balance,Ending balance,Ending balance,"4,148,043,710,000","14,462,886,313","96,180,413,885","705,958,927,902","1,533,066,047,727","6,497,711,985,827",,,,,,
