row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Năng lượng TTC,Phải thu ngắn hạn của khách hàng > Năng lượng TTC,Năng lượng TTC,Cung cấp dịch vụ,28.533.488.546,180.452.016,,28533488546.0,180452016.0
Đặng Huỳnh,Phải thu ngắn hạn của khách hàng > Đặng Huỳnh,Đặng Huỳnh,Cung cấp dịch vụ,218.325.944,161.056.068,,218325944.0,161056068.0
Lavi,Phải thu ngắn hạn của khách hàng > Lavi,Lavi,Cung cấp dịch vụ,-,1.998.000.000,,,1998000000.0
Mía đường Attapeu,Phải thu ngắn hạn của khách hàng > Mía đường Attapeu,Mía đường Attapeu,Cung cấp dịch vụ,-,57.000.000,,,57000000.0
Nông nghiệp Tuần hoàn TTC,Phải thu ngắn hạn của khách hàng > Nông nghiệp Tuần hoàn TTC,Nông nghiệp Tuần hoàn TTC,Cung cấp dịch vụ,-,37.500.000,,,37500000.0
Xuất nhập khẩu Agris Ninh Hòa,Phải thu ngắn hạn của khách hàng > Xuất nhập khẩu Agris Ninh Hòa,Xuất nhập khẩu Agris Ninh Hòa,Cung cấp dịch vụ,-,37.908.000,,,37908000.0
Nhiệt điện Ninh Hòa,Phải thu ngắn hạn của khách hàng > Nhiệt điện Ninh Hòa,Nhiệt điện Ninh Hòa,Cung cấp dịch vụ,-,30.348.000,,,30348000.0
Năng lượng sạch Ninh Hòa,Phải thu ngắn hạn của khách hàng > Năng lượng sạch Ninh Hòa,Năng lượng sạch Ninh Hòa,Cung cấp dịch vụ,-,8.748.000,,,8748000.0
Đường Biên Hòa - Phan Rang,Phải thu ngắn hạn của khách hàng > Đường Biên Hòa - Phan Rang,Đường Biên Hòa - Phan Rang,Cung cấp dịch vụ,-,8.748.000,,,8748000.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng > TỔNG CỘNG,TỔNG CỘNG,,28.751.814.490,2.519.760.084,,28751814490.0,2519760084.0
