row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Bảo hiểm,Ngắn hạn > Bảo hiểm,Bảo hiểm,7.161.165.308,5.629.920.836,7161165308.0,5629920836.0
Chỉ phí sửa chữa,Ngắn hạn > Chỉ phí sửa chữa,Chỉ phí sửa chữa,359.834.336,12.919.727.062,359834336.0,12919727062.0
Khác,Ngắn hạn > Khác,Khác,3.044.104.571,2.915.493.898,3044104571.0,2915493898.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,10.565.104.215,21.465.141.796,10565104215.0,21465141796.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,6.669.918.437,6.915.901.109,6669918437.0,6915901109.0
Bảo hiểm,Dài hạn > Bảo hiểm,Bảo hiểm,6.317.770.185,5.165.416.689,6317770185.0,5165416689.0
"Chi phí cải tạo nhà máy và sửa chữa tài sản cố định (""TSCĐ"")","Dài hạn > Chi phí cải tạo nhà máy và sửa chữa tài sản cố định (""TSCĐ"")","Chi phí cải tạo nhà máy và sửa chữa tài sản cố định (""TSCĐ"")",2.377.938.480,8.068.268.865,2377938480.0,8068268865.0
Công cụ dụng cụ và thiết bị văn phòng,Dài hạn > Công cụ dụng cụ và thiết bị văn phòng,Công cụ dụng cụ và thiết bị văn phòng,1.074.191.281,1.217.950.391,1074191281.0,1217950391.0
Khác,Dài hạn > Khác,Khác,2.999.370.485,2.958.177.464,2999370485.0,2958177464.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,19.439.188.868,24.325.714.518,19439188868.0,24325714518.0
