row_label_raw,row_label_full,Contract No.,Amount,Principal VND,Rate,Period,Re-purchase amount,numeric__Amount,numeric__Principal VND,numeric__Rate,numeric__Period,numeric__Re-purchase amount
88.20.01/CTTC dated 26 June 2020,88.20.01/CTTC dated 26 June 2020,88.20.01/CTTC dated 26 June 2020,VND7.14 billion (80% of leasing asset value),"1,489,878,011",(*),84 months from the contract date,VND 9 million,,,,,
77.20.05/CTTC dated 30 December 2020,77.20.05/CTTC dated 30 December 2020,77.20.05/CTTC dated 30 December 2020,VND7.57 billion (70% of leasing asset value),"130,576,785",(*),60 months from the contract date,VND 11 million,,,,,
2024-00139-000 dated 25 June 2024,2024-00139-000 dated 25 June 2024,2024-00139-000 dated 25 June 2024,VND15.2 billion (85% of leasing asset value),"9,051,382,177",(**),60 months from the contract date,VND 76 million,,,,,
2024-00140-000 dated 25 June 2024,2024-00140-000 dated 25 June 2024,2024-00140-000 dated 25 June 2024,VND16 billion (85% of leasing asset value),"9,559,741,510",(**),60 months from the contract date,VND 80 million,,,,,
2024-00141-000 dated 25 June 2024,2024-00141-000 dated 25 June 2024,2024-00141-000 dated 25 June 2024,VND20 billion (85% of leasing asset value),"11,941,076,970",(**),60 months from the contract date,VND 100 million,,,,,
TOTAL,TOTAL,TOTAL,,"32,172,655,453",,,,,,,,
Current portion,Current portion,Current portion,,"9,853,029,045",,,,,,,,
Non-current portion,Non-current portion,Non-current portion,,"22,319,626,408",,,,,,,,
