row_label_raw,row_label_full,col_0,Consolidated balance sheet,Consolidated balance sheet_1,Consolidated income statement,Consolidated income statement_1,numeric__Consolidated balance sheet,numeric__Consolidated balance sheet_1,numeric__Consolidated income statement,numeric__Consolidated income statement_1
,,,Ending balance,Beginning balance,Current year,Previous year,,,,
Unrealised profit,Unrealised profit,Unrealised profit,"14,335,679,663","17,084,880,540","(2,749,200,877)","(8,735,247,320)",,,,
Provision for diminution in investments at subsidiaries,Provision for diminution in investments at subsidiaries,Provision for diminution in investments at subsidiaries,"(673,873,014)","(42,690,278,875)","42,016,405,861","(25,350,569,831)",,,,
Deferred tax assets,Deferred tax assets,Deferred tax assets,"13,661,806,649","(25,605,398,335)",,,,,,
Net deferred tax income (expense),Net deferred tax income (expense),Net deferred tax income (expense),Net deferred tax income (expense),Net deferred tax income (expense),"39,267,204,984","(34,085,817,151)",,,,
