row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.054.494.010.000,20.700.057.484,4054494010000.0,20700057484.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,,
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,,,,
Tăng vốn,Tăng vốn,Tăng vốn,-,-,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,,
"Sử dụng quỹ đầu tư, phát triển","Sử dụng quỹ đầu tư, phát triển","Sử dụng quỹ đầu tư, phát triển",-,-,,
Phát hành cổ phiếu trả cổ tức,"Sử dụng quỹ đầu tư, phát triển > Phát hành cổ phiếu trả cổ tức",Phát hành cổ phiếu trả cổ tức,170.589.700.000,-,170589700000.0,
Thay đổi quyền kiểm soáttrong công ty con,Thay đổi quyền kiểm soáttrong công ty con,Thay đổi quyền kiểm soáttrong công ty con,-,-,,
Số cuối năm,Thay đổi quyền kiểm soáttrong công ty con > Số cuối năm,Số cuối năm,4.225.083.710.000,20.700.057.484,4225083710000.0,20700057484.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.225.083.710.000,20.700.057.484,4225083710000.0,20700057484.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,,
Thay đổi quyền kiểm soáttrong công ty con,Thay đổi quyền kiểm soáttrong công ty con,Thay đổi quyền kiểm soáttrong công ty con,-,-,,
Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,Chia cổ tức tại công ty con,-,-,,
Cổ tức chia cho cổ phần ưu đãi (*),Cổ tức chia cho cổ phần ưu đãi (*),Cổ tức chia cho cổ phần ưu đãi (*),-,-,,
"Trích lập quỹ khen thưởng, phúc lợi (**)","Trích lập quỹ khen thưởng, phúc lợi (**)","Trích lập quỹ khen thưởng, phúc lợi (**)",-,-,,
Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***),"Trích lập quỹ khen thưởng, phúc lợi (**) > Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***)",Giảm vốn cổ phần thông qua mua lạicổ phần ưu đãi (***),(77.040.000.000),(6.237.171.171),-77040000000.0,-6237171171.0
Số cuối năm,"Trích lập quỹ khen thưởng, phúc lợi (**) > Số cuối năm",Số cuối năm,4.148.043.710.000,14.462.886.313,4148043710000.0,14462886313.0
