row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng nhân viên (i),Ngắn hạn > Tạm ứng nhân viên (i),Tạm ứng nhân viên (i),180.867.959.859,90.996.449.331,180867959859.0,90996449331.0
Phải thu tiền lãi,Ngắn hạn > Phải thu tiền lãi,Phải thu tiền lãi,19.907.831.170,42.772.244.238,19907831170.0,42772244238.0
Ký quỹ thực hiện dự án (ii),Ngắn hạn > Ký quỹ thực hiện dự án (ii),Ký quỹ thực hiện dự án (ii),11.045.000.000,5.795.000.000,11045000000.0,5795000000.0
Khác,Ngắn hạn > Khác,Khác,5.808.410.415,6.765.557.537,5808410415.0,6765557537.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,217.629.201.444,146.329.251.106,217629201444.0,146329251106.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ bên khác,Trong đó: > Phải thu ngắn hạn khác từ bên khác,Phải thu ngắn hạn khác từ bên khác,203.189.774.049,107.837.527.809,203189774049.0,107837527809.0
Phải thu ngắn hạn từ bên liên quan (TM 30),Trong đó: > Phải thu ngắn hạn từ bên liên quan (TM 30),Phải thu ngắn hạn từ bên liên quan (TM 30),14.439.427.395,38.491.723.297,14439427395.0,38491723297.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đặt cọc hợp đồng hợp tác đầu tư (iii),Dài hạn > Đặt cọc hợp đồng hợp tác đầu tư (iii),Đặt cọc hợp đồng hợp tác đầu tư (iii),15.000.000.000,-,15000000000.0,
Tạm ứng nhân viên (i),Dài hạn > Tạm ứng nhân viên (i),Tạm ứng nhân viên (i),12.830.787.532,-,12830787532.0,
Ký quỹ thuê tài chính,Dài hạn > Ký quỹ thuê tài chính,Ký quỹ thuê tài chính,7.970.375.000,8.362.575.000,7970375000.0,8362575000.0
Ký quỹ thực hiện dự án (ii),Dài hạn > Ký quỹ thực hiện dự án (ii),Ký quỹ thực hiện dự án (ii),4.570.000.000,10.087.800.000,4570000000.0,10087800000.0
Ký quỹ bảo lãnh thực hiện nghĩa vụ bảo hành,Dài hạn > Ký quỹ bảo lãnh thực hiện nghĩa vụ bảo hành,Ký quỹ bảo lãnh thực hiện nghĩa vụ bảo hành,-,6.412.676.704,,6412676704.0
Ký quỹ khác,Dài hạn > Ký quỹ khác,Ký quỹ khác,272.800.000,629.166.262,272800000.0,629166262.0
Khác,Dài hạn > Khác,Khác,4.163.831.210,4.047.381.709,4163831210.0,4047381709.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,44.807.793.742,29.539.599.675,44807793742.0,29539599675.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn khác từ bên khác,Trong đó: > Phải thu dài hạn khác từ bên khác,Phải thu dài hạn khác từ bên khác,44.309.589.360,29.041.395.293,44309589360.0,29041395293.0
Phải thu dài hạn từ bên liên quan (TM 30),Trong đó: > Phải thu dài hạn từ bên liên quan (TM 30),Phải thu dài hạn từ bên liên quan (TM 30),498.204.382,498.204.382,498204382.0,498204382.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(17.292.017.151),(969.418.477),-17292017151.0,-969418477.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,(17.292.017.151),(817.708.635),-17292017151.0,-817708635.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,-,(151.709.842),,-151709842.0
