row_label_raw,row_label_full,Hợp đồng > 88.20.01/CTTC ngày 26 tháng 6 năm 2020 > 77.20.05/CTTC ngày 30 tháng 12 năm 2020 > 2024-00139-000 ngày 25 tháng 6 năm 2024 > 2024-00140-000 ngày 25 tháng 6 năm 2024 > 2024-00141-000 ngày 25 tháng 6 năm 2024,"Giá trị > 7,14 tỷ đồng (80% giá trị tài sản thuê) > 7,57 tỷ đồng (70% giá trị tài sản thuê) > 15,2 tỷ đồng (85% giá trị tài sản thuê) > 16 tỷ đồng (85% giá trị tài sản thuê) > 20 tỷ đồng (85% giá trị tài sản thuê)",No gốc VND > 1.489.878.011 > 130.576.785 > 9.051.382.177 > 9.559.741.510 > 11.941.076.970,Lãi suất > (*) > (**),Thời hạn > 84 tháng kể từ ngày hợp đồng > 60 tháng kể từ ngày hợp đồng,Giá trị mua lại > 9 triệu đồng > 11 triệu đồng > 76 triệu đồng > 80 triệu đồng > 100 triệu đồng,"numeric__Giá trị > 7,14 tỷ đồng (80% giá trị tài sản thuê) > 7,57 tỷ đồng (70% giá trị tài sản thuê) > 15,2 tỷ đồng (85% giá trị tài sản thuê) > 16 tỷ đồng (85% giá trị tài sản thuê) > 20 tỷ đồng (85% giá trị tài sản thuê)",numeric__No gốc VND > 1.489.878.011 > 130.576.785 > 9.051.382.177 > 9.559.741.510 > 11.941.076.970,numeric__Lãi suất > (*) > (**),numeric__Thời hạn > 84 tháng kể từ ngày hợp đồng > 60 tháng kể từ ngày hợp đồng,numeric__Giá trị mua lại > 9 triệu đồng > 11 triệu đồng > 76 triệu đồng > 80 triệu đồng > 100 triệu đồng
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,32.172.655.453,,,,,32172655453.0,,,
No thuê tài chính đến hạn trả,No thuê tài chính đến hạn trả,No thuê tài chính đến hạn trả,,9.853.029.045,,,,,9853029045.0,,,
No thuê tài chính dài hạn,No thuê tài chính dài hạn,No thuê tài chính dài hạn,,22.319.626.408,,,,,22319626408.0,,,
