row_label_raw,row_label_full,Related party,Transaction,Current year,VND Previous year,numeric__Transaction,numeric__Current year,numeric__VND Previous year
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Lending collection,"180,900,000,000",-,,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Lending interest income,"4,826,649,314","16,164,530,139",,,
Truong Phu Hydropower,Truong Phu Hydropower,Truong Phu Hydropower,Sale of goods and rendering of services,"30,657,600","720,991,444",,,
Deutsche Investitions,Deutsche Investitions,Deutsche Investitions,Dividends on preference share,"40,878,066,000","40,076,208,000",,,
Deutsche Investitions,Deutsche Investitions,Deutsche Investitions,Purchase of goods and services,"12,887,915,901","860,314,299",,,
Deutsche Investitions,Deutsche Investitions,Deutsche Investitions,Supporting fee,-,"453,640,775",,,
Deutsche Investitions,Deutsche Investitions,Deutsche Investitions,Purchase of services,-,"860,314,299",,,
TTC Energy,TTC Energy,TTC Energy,Rendering of services,"32,977,867,065","2,107,581,600",,,
Son Tin,Son Tin,Son Tin,Lending collection,"32,000,000,000","10,000,000,000",,,
Son Tin,Son Tin,Son Tin,Interest income,"2,679,479,447","5,547,019,175",,,
Thanh Thanh Cong Investment,Thanh Thanh Cong Investment,Thanh Thanh Cong Investment,Purchase of goods and services,"23,504,540,000","23,765,073,358",,,
Lavi,Lavi,Lavi,Rendering of services,"18,111,997,842","11,887,306,513",,,
Lavi,Lavi,Lavi,Lending collection,"3,000,000,000",-,,,
Lavi,Lavi,Lavi,Interest income,"163,397,259","13,808,219",,,
Thanh Thanh Nam,Thanh Thanh Nam,Thanh Thanh Nam,Purchase of goods and services,"6,412,335,828","5,980,362,630",,,
Dang Huynh,Dang Huynh,Dang Huynh,Rendering of services,"6,311,962,890","5,714,148,767",,,
Dang Huynh,Dang Huynh,Dang Huynh,Purchase of goods and services,"325,742,413","424,080,109",,,
Ninh Thuan Clean Energy,Ninh Thuan Clean Energy,Ninh Thuan Clean Energy,Lending collection,"4,000,000,000",-,,,
Ninh Thuan Clean Energy,Ninh Thuan Clean Energy,Ninh Thuan Clean Energy,Interest income,"61,150,686","360,986,304",,,
TTC International Travel,TTC International Travel,TTC International Travel,Purchase of goods and services,"3,906,714,644","1,812,312,691",,,
Thanh Ngoc Tea,Thanh Ngoc Tea,Thanh Ngoc Tea,Purchase of goods and services,"1,682,964,951",-,,,
DHA Medical Service Trading,DHA Medical Service Trading,DHA Medical Service Trading,Prepayment for purchase of service,"856,138,519","797,176,482",,,
Dai Tin,Dai Tin,Dai Tin,Purchase of goods and services,"555,555,556","11,960,721,073",,,
Thanh Thanh Cong Lam Dong Tourism,Thanh Thanh Cong Lam Dong Tourism,Thanh Thanh Cong Lam Dong Tourism,Purchase of goods and services,"160,345,532","253,664,058",,,
Thanh Binh Tourist,Thanh Binh Tourist,Thanh Binh Tourist,Purchase of goods and services,"90,615,146","176,693,551",,,
Thanh Thanh Cong Industrial Zones,Thanh Thanh Cong Industrial Zones,Thanh Thanh Cong Industrial Zones,Sale of goods and rendering of services,-,"6,409,196,254",,,
Tan Dinh Import Export,Tan Dinh Import Export,Tan Dinh Import Export,Purchase of goods and services,-,"1,647,983,181",,,
